sample_no,doc_id,line_id,osmanlica,reference
65,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-010,ایكنجی ماده مصالح میریهده مستخدم صغار و كبار ماموریندن بریسی تخت ادارهسنده اولان ویاخود كندوسنه امانت و تسلیم اولنان مبالغ و اموال,İkinci Madde Mesâlih-i mîrîyede müstahdem sigâr u kibâr memurînden birisi taht-ı idaresinde olan veyahut kendisine emanet ve teslim olunan mebâliğ ve emvâl
66,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003,متوفای مومیالیهن  مرجان جامع شریفی وقفی حاصلاتندن سالیه مخصص اولان یكرمی بش بیك غروشدن شعریه ایكی یوز,müteveffâ-yı mûmâ-ileyhin Mercan câmi‘-i şerîfi vakfı hâsılatından sâliye muhasses olan yirmi beş bin guruştan şehriye iki yüz
67,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-015,رویتنده و رجعه و سندات لازمهسیله مقابلهسنده و عموما دفاتر و محاسبات ایله مخزن و شونهلرك و مصالح سایرهنك حین تفتیشنده موجودات,rüyetinde ve reca ve senedât-ı lâzımesiyle mukabelesinde ve umumen defâtir ve muhâsebât ile mahzen ve şûnelerin ve mesâlih-i sairenin hîn-i teftîşinde mevcudat
68,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-022,بشنجی ماده طرف اشرف حضرت شاهانهدن موضوع جمیع قوانین و نظامات موسسهنك مجلس احكام عدلیه حامی قوسی اولدیغی كبی بالتوارث,Beşinci Madde Taraf-ı eşref-i hazret-i şahaneden mevzû-ı cemî-i kavânîn ve nizâmât-ı müessesenin Meclis-i Ahkâm-ı Adliye hâmi-i kavisi olduğu gibi bit-tevârüs
69,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-013,ایتدیكی مبالغی تماما ایفا و سد ایدهجك موجودی اولمادیغی تقدیرده نفی و طرد ایله معامله اولنه,ettiği mebâliği tamamen ifa ve sed edecek mevcudu olmadığı takdirde nefy ve tard ile muamele oluna
70,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-014,اولان انسانه۔ كور اولاسی دینسز كوزی، كورمز اولدی یوزیمزی، هم ایشیتمز سوزیمزی، حق سویلهین ایتلرز بز۔,"olan insana. Kör olası dinsiz gözü, görmez oldu yüzümüzü, hem işitmez sözümüzü, hak söyleyen âyetleriz biz."
71,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-001,تعذیر اولنهجقلری مثللو كذالك صورت شرعیهسنه تطبیقا بو مقولهلرك ینه درجه جنحهسنه كوره اوچدن یتمش طقوز عدده قدر دكنك ضربیله دخی تعذیرلری,tazir olunacakları misillü kezâlik sûret-i şeriyesine tatbikan bu makûlelerin yine derece-i cünhasına göre üçten yetmiş dokuz adede kadar değnek darbıyla dahi tazirleri
72,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-011,و استحضاری داعیره عسكریهجه مرتبه وجوبه منتهی و بونلرك صورت وضع و ترتیبلری و بولوكلرك تشكیلاتی محلیندن جلب اولونان لوایح و رسایلده و جهت فنیهسی دخی كچنلرده تخت اراده سنیذیه الینان پروغراملرك حكمت عسكریه,ve istihzârı Dâ’ire-i Askeriyece mertebe-i vücûba müntehi ve bunların sûret-i vaz‘ ve tertîbleri ve bölüklerin teşkîlâtı mahallinden celb olunan levâyih ve resâ’ilde ve cihet-i fenniyesi dahi geçenlerde taht-ı irâde-i seniyyeye alınan programların hikmet-i askeriye
73,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-006,معاریف,Ma‘ârif-i
74,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-003,بو یاقینلرده امریقهلونك بری بر دیكمك التی ایجاد ایدوب اوروپهیه كتیرمش و بو التله چوقا و مشین و امثالی شیلر دیكیلهبیلهجكندن فایدهلی مخترعات جدیدهدن بولونمش,Bu yakınlarda Amerikalının biri bir dikmek âleti îcâd edip Avrupa’ya getirmiş ve bu âletle çuka ve meşin ve emsâli şeyler dikilebileceğinden fâ’ideli muhteri‘ât-ı cedîdeden bulunmuş
75,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-003,فصل ثالث,Fasl-ı Sâlis
76,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-016,و مقبوضات و مدفوعاتدن بر كونه ارتقاب تبین ایلدیكی حالده ارتقاب ایدن ادمدن استرداد اولنوب تادیبی سرقت جزاسنه توفیقا اجرا قلنه و اصیل,ve makbûzât ve medfûâtdan bir güne irtikâb tebeyyün eylediği hâlde irtikâb eden adamdan istirdâd olunup tedîbi sirkat cezasına tevfiken icra kılına ve asıl
77,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-002,معروض چاكر كمینەلریدر كه,Ma‘rûz-ı çâker-i kemîneleridir ki
78,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-025,هر بر افعال و حركاتلرندن طولایی مسیول اولدقلرندن بریسنك مصلحت مامورهسنده تكاسلی رو نما اولور ایسه اقالیم مجلسلرنده ویاخود احكام مصریه,her bir efâl ve harekâtlarından dolayı mesul olduklarından birisinin maslahat-ı memuresinde tekâsülü rû-nümâ olur ise ekalim meclislerinde veyahut Ahkâm-ı Mısriye
79,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-013,مامور قیلینان افندیلردن ایكی اوچ نفری فرانسه تلغراف بولوكلرینه ویریلهرك برقاچ ماه استخدام قیلیندیغی ویاخود مكتبدن مخرج برقاچ ضابطان مذكور بولوكلره لاجل التعلیم مخصوصا كوندریلدیكی حالده اساس مطلب حاصل,me’mûr kılınan efendilerden iki üç neferi Fransa telgraf bölüklerine verilerek birkaç mâh istihdâm kılındığı veyâhûd mektebden muhrec birkaç zâbitân mezkûr bölüklere li-ecli’t-ta‘lîm mahsûsen gönderildiği hâlde esâs matlab hâsıl
80,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-016,دیدكلرینی خیالا دیڭلهدم۔,dediklerini hayâlen dinledim.
81,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-009,لدی‌المطالعه,lede’l-mütâla‘a
82,9b55f175-618f-4cf6-8ccf-8936d1cbff34,9b55f175-618f-4cf6-8ccf-8936d1cbff34-001,قات اندر قات مكافات حسنهسنی كورر,Kat-ender-kat mükâfat-ı hasenesini görür
83,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-012,قسمنده داخل اولمسیله بعدما طلبهیه تدریس اولوناجغی بدیهی اولوب مع مافه بو مثللو تطبیقات فنیهده حصول ممارسه و اقتدار استخدامه موقوف اولدیغندن پاریسده مكتب صنایع شاكردانندن اولوب ماكینه تحصیلنه,kısmında dâhil olmasıyla ba‘demâ talebeye tedrîs olunacağı bedîhî olup ma‘amâfih bu misillü tatbîkat-ı fenniyede husûl-i mümârese ve iktidâr istihdâma mevkuf olduğundan Paris’te Mekteb-i Sanâyi‘ şâkirdânından olup makine tahsîline
84,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-004,ییلدیزلری قونوشدیران بر ییلدیزنامه,Yıldızları konuşturan bir yıldıznâme
85,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-009,بیان اولونمش و مذكور مذكره لدالمتعه خلاصه مالالی مذكور اوچ نوع تلغرافدن بر نوعی اوردو ایله متحرك اولوب باش قوماندان ایله فرقه قوماندانلقلرینك مخابراتنه مخصوص اولدیغی كبی نوع دیكری میدان محاربه ایله ایلری,beyân olunmuş ve mezkûr müzekkere lede’l-mütâla‘a hulâsa-i me’âli mezkûr üç nev‘ telgraftan bir nev‘i ordu ile müteharrik olup başkumandan ile fırka kumandanlıklarının muhâberâtına mahsûs olduğu gibi nev‘-i diğeri meydân-ı muhârebe ile ileri
86,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-008,و هر نه كه نهبی غصب ایلمشلر ایسه مرقومان مزبور علی بك ایله بینلرنده اقتسام ایلهدكلرندن باشقه اق,ve her ne ki nehbü gasb eylemişler ise merkumân-ı mezbûr Ali Bey ile beynlerinde iktisâm eylediklerinden başka Ak
87,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-004,اللی غروشونك كندیه اعطاسی املنده بولوندیغی و بوكا دعیر مجلس محاسبهدن كچنده بر مضبطه تنظیم اولونمش ایسه ده هنوز,elli guruşunun kendüye i‘tâsı emelinde bulunduğu ve buna dâ’ir Meclis-i Muhâsebe’den geçende bir mazbata tanzîm olunmuş ise de henüz
88,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-005,معروض چاكر كمینهلریدر كه,Ma‘rûz-ı çâker-i kemîneleridir ki
89,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-019,ایتدیرلمسیله  بو مثللولرك مصلحتدن عزل و طردی دخی جایز اوله,ettirilmesiyle bu misillülerin maslahattan azl ve tardı dahi caiz ola
90,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-021,دخی معتمد و موتمن اولمسی لازم كلهجكنه بناء بعد ازین او مقوله خدمتلرده هیچ بر طرفك خاطر ایچون ادم استحدامی جایز اولمیه,dahi mutemed ve mütemen olması lazım geleceğine binâen bad-ezîn o makûle hizmetlerde hiçbir tarafın hatır için adam istihdamı caiz olmaya
91,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-009,كوپرو نام محلده اقامت و مرور و عبور ایدن ابنا سبیل و اولاقلره تسلیط ایلهدكلرینه بناء دیویلك,köprü nâm mahallde ikamet ve mürûr ü ubûr eden ebnâ-i sebîl ve ulaklara taslît eylediklerine binâen Devilik
92,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-012,سالیهسندن ویریلمسی اویهمهیجغندن اول باول مخلول وقوعنده مناسب مقدار ماعاش ویریلمك اوزره كیفیتك,sâliyesinden verilmesi uyamayacağından evvel be-evvel mahlûl vuku‘unda münâsib mikdâr ma‘âş verilmek üzere keyfiyetin
93,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-000,طرسوس طرفندن كلن چوقادار حسن قوللرینك تقریریدر:,Tarsus tarafından gelen Çukadâr Hasan kullarının takrîridir:
94,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-003,اجتسار ایتمش اولان اشخاصدن سكز نفرینك تهمتلری تبین بونلرك تادیب و تربیهلریله برایت ذمتلری ظاهر اولان اوچ نفرینك تخلیه سبیلی,ictisâr etmiş olan eşhâsdan sekiz neferinin töhmetleri tebeyyün bunların tedîb ve terbiyeleriyle berâet-i zimmetleri zâhir olan üç neferinin tahliye-i sebîli
95,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-015,دایر مودوع حافظهسی اولان نیات حسنه و افكار خالصانهمزی كوزلجه ایضاح و تفسیر ایدهجكندن تبلیغاتنه وثوق و اعتماد بیورلمسی و غب اتمام,dair mevdû-ı hâfızası olan niyât-ı hasene ve efkâr-ı hâlisânemizi güzelce izah ve tefsir edeceğinden tebligâtına vüsük ve itimat buyurulması ve gıb-ı itmâm
96,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-000,مالیه نظارتنه,Mâliye nezâretine
97,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-013,استیذان,istîzân
98,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-004,برنجی ماده طرف دولتعلیهدن و وراثت فرمان عالیسی موجبنجه مصر والیلرینه محول اولان حكومت محلیه و بالتوارث والی بولنان ذات ایله مامورین,Birinci Madde Taraf-ı Devlet-i Aliyeden ve veraset fermân-ı âlîsi mûcebince Mısır valilerine muhavvel olan hükûmet-i mahalliye ve bit-tevârüs vali bulunan zât ile memurîn
99,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-002,معدل نهار نصفت مكمل بهار شفقت ماه منیر سپهر بختیاری شاه سریر سروری و كامكاری متوسد جایكاه كیانی مستند چار بالش جهانبانی,muaddil-i nehâr-ı nesafet mükemmil-i bahâr-ı şefakat mâh-ı münîr-i sipihr-i bahtiyârî şâh-ı serîr-i serveri ve kâm-kâri mütevessid-i câygâh-ı giyâni müstenid-i çâr-bâliş-i cihânbânî
100,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-007,مالالرینه نظرا مذكور تلغرافك اوچ قسم اولارق ایجاد اولوندیغی اكلاشیلدیغندن بونك لدالحاجه دولت عالیهجه دخی قوللانیلمق اوزره اعمالی ضمننده اوراق مورودهنك مكتب حربیه شاهانه مجلس معاریفنجه بالتدقیق انواع ثلاثه,me’âllerine nazaran mezkûr telgrafın üç kısım olarak îcâd olunduğu anlaşıldığından bunun lede’l-hâce Devlet-i Aliyyece dahi kullanılmak üzere i‘mâli zımnında evrâk-ı mevrûdenin Mekteb-i Harbiye-i Şâhâne Meclis-i Ma‘ârifince bi’t-tedkîk envâ‘-ı selâse-i
