osmanlica,transkripsiyon
تريغراد,Trigrad
تريكان,Terikan
تريكه رى,Trikeri
ترينس,Tirins
ترييا ماوراودنا,Triya Mavravodina
ترييانيزا,Tiriyaniza
ترييو,Triyo
ترپتنسى,Tripitinisi
تزنه دره سى,Tezenederesi
تساليان اطه اطه لرى,Teselyan Adaları
تستور,Testur
تسيق,Tasık
تشنه,Teşene
تشنه مع زنجيه,Teşene maa Jepçe (Zenciye)
تشنه مع زيچه,Teşene maa Jepçe (Ziçe)
تشنه مع قصبۀ زبجه,Teşene maa Kasaba-i Jepçe (Zebçe)
تشوار,Tişuvar
تعز,Taiz
تفلح,Tüflah
تفن مع سيروز,Tefenni maa Siroz
تفنى,Tefenni
تفنى مع سيروز,Tefenni maa Siroz
تكاك,Teğek
تكرى ويرمش,Tanrıvermiş
تكريت,Tikrit
تكفور طاغى,Tekfurdağı
تكفور طاغى مع ويزه,Tekfurdağı maa Vize
تكفور گولى,Tekfurgölü
تكفورصيان,Tekfursayan
تكفورطاغى,Tekfurdağı
تكفوركولى,Tekfurgölü
تكمان,Tekman
تكه لو,Tekeli
تكه لو مع كولك,Tekeli maa Gülek
تكه لو مع گولك,Tekeli maa Gülek
تكه لى,Tekeli
تكه مع علائيه,Teke maa Alaiye
تكه وانطاليه,Teke ve Antalya
تكورطاغى,Tekfurdağı
تكير طاغى,Tekfurdağı
تكيرطاغى,Tekfurdağı (Tekirdağı)
تكيه,Tekye
تل كلخ,Telkelah
تلاح صغير,Tallah-ı Sagir
تلاح كبير,Tallah-ı Kebir
تلبسم,Telbesim
تلبشار,Tilbeşar
تلعفر,Telafer
تلمسان,Tilemsan
تلمو,Tilmo
تله پولى,Telepoli
تلين,Telin
تلچاق,Telçak
تمان,Taman
تمرزلر و حيدرلر,Temrezler ve Haydarlar
تمنار,Temnar
تمنس,Temenos
تمنوس,Temenos
تمنين تحتا,Temnin-i Tahta
تمور حصار,Timurhisar
تمورجى بازارى,Demircipazarı
تمورحصار,Timurhisar
تمورينچه,Timurinçe
تموق,Timok
تموك و اقچه قلعه و يره مدكى و پازارجق و طاش بولاق (؟),Tümük ve Akçakale ve Yeremudki (?) ve Pazarcık ve Taşbulak
تموم,Temum
تمونشته,Tomonişte
تميناكى,Teminaki
تن دره,Tendere
تندره,Tendere
تنس,Tunus
تنكين,Tengin
تنورين,Tennurin
تنومه,Tenume
ته ته ون,Teteven
تهومير,Tihomir
تواتل و مخوب,Tevatil ve Mahub
توترقان,Tutrakan
توتروقان,Tutrakan
توتنچه,Tutniçe
توتيك,Tutik
توحت,Tuht
توحما,Tuhma
توخت,Tuht
توراكلو,Tozanlı
توران,Turan
تورانلى,Turanlı
تورتم,Tortum
تورتوم,Tortum
تورجان,Turcan
تورحال,Turhal
تورخال,Turhal
تورخال مع قاز اباد,Turhal maa Kazabad
تورغود,Turgud (?)
تورك طغانجه,Türkdoğanca
توركنلر,Türkenler
تورنك,Türnük
تورنوك,Türnük
تورنيك,Türnük
توريچانى,Toriçani
توزاكلو,Tozanlı
توزاكلى,Tozanlı
توزانلو,Tozanlı
توزاڭلى,Tozanlı
توزلق,Tuzluk
توطاش,Tutaş
توغلر,Tuğlar
توفير (؟),Tufir (?)
توقات,Tokat
توقاد,Tokat (Tokad)
توقاد مع توزاكلى,Tokat (Tokad) maa Tozanlı
توقاد مع دونكسه اباد ومجيداوزى,Tokat (Tokad) maa Dönekseabad ve Mecidözü
توقاد مع ناحيۀ قومنات و كافرنى و توزاكلى,Tokat (Tokad) maa Nahiye-i Komenat ve Kafirni ve Tozanlı
توقاد و سيواس,Tokad ve Sivas
توقار چاى,Tokarçay
توقاريس,Tokaris
توقيع,Tevki
توكوچه (؟),Tüküçe (?)
تولجه,Tulca
تولنه,Tolna
تولون,Tolon
تومانس,Tomanis
تومك,Tümük
توند,Tond
توى,Toy
توي,Toy
تويردوش,Tıvırdoş
توپولنيچه,Topolniçe
توپولنچه,Topolniçe
توپولونيك,Topolovnik
توپوليانى,Topolyani
تيران,Tiran
تيران مع اقحصار,Tiran maa Akhisar
تيرك,Tirek
تيره,Tire
تيره بولى مع كورتون,Tirebolu maa Kürtün
تيزمند,Tizmend
تيزيوزو,Tizivuzu
تيكريت,Tikrit
تيل طاوى,Nil (Tiltavi (?))
تيلاوه,Tilava
تيلج,Tilic (?)
تيلو,Tilos (Tilo)
تيليا,Tilya
تيما,Tima
تيمار,Timar
تيمار صرچه لى,Timar-ı Sırçalı
تيمور حصار,Timurhisar
تيمور شير,Timurşir
تيموران,Timuran
تيمورجئ صاروخان,Demirci-i Saruhan (Timurci-i Saruhan)
تيمورجه ويرن,Demirceviran
تيمورحصار,Timurhisar
تيمورطاش,Demirtaş
تيمورنجه,Timurinçe
تيمورنچه,Timurinçe
تيمورينچه,Timurinçe
تيموق,Timok
تينه,Tinah
تينوس,Tinos
تيونس,Tiyonis
تَاوُرْغَه,Tavurga
تَرجان عُلْيَا,Tercan-ı Ulya
تَرْجيل,Tercil
تَمَنوس,Temenos
تُورْتُومْ,Tortum
تُونُس,Tunus
تپه,Tepe
تپه خان,Tepehan
تپه دلن,Tepedelen
تپه سى دلك,Tepesidelik
تپولنچه,Topolniçe
ثابت,Sabit
ثلث عكار,Sülüs-i Akkar
ثلث كوره,Sülüs-i Küre
ثلثان كوره,Sülüsan-ı Küre
ثور,Sevr
ثيغانى,Sigani
ثيلمو,Tilmo
جاجقه,Çaçaka
جاجوينه,Çaçvine
جارسنجاق,Çarsancak
جاف عشائرى,Caf Aşairi
جافاتين,Cafatin
جاك,Çan
جالو,Calu
جاليجه,Çalıca
جامستل,Camustil
جامع ابراهم پاشا,Cami-i İbrahimpaşa
جامع داود پاشا,Cami-i Davudpaşa
جامع سلطان بايزيد خان,Cami-i Sultanbayezidhan
جامع سلطان سليم خان,Cami-i Sultanselimhan
جامع سلطان محمد خان,Cami-i Sultanmehmedhan
جامع على پاشا,Cami-i Alipaşa
جاملجه لر,Çamlıcalar
جاملى بل,Çamlıbel
جامليجه,Çamlıca
جاموستل,Camustil
جاموستل مع بولانق و شكر اوبه سى,Camustil maa Bulanık ve Şekerobası
جاموستيل,Camustil
جانب الصرت و قصر,Canibüssırt ve Kasr
جانب الصِرتْ و قَصْر,Canibüssırt ve Kasr
جانب شهر,Canib-i Şehr
جانب عربان شرق,Canib-i Urban-ı Şark
جانب عربان غرب,Canib-i Urban-ı Garb
جانباز,Canbaz
جانجكه,Canciğe
جانجه,Canca
جاندارلو,Çandarlı
جاندارلى,Çandarlı
جانلى,Çanlı
جانوس,Canus
جانيك قواق,Canik Kavak
جانيك كول,Canik-i Göl
جانيك مع نظارت كندز,Canik maa Nezaret-i Gündüz
جاى,Çay
جاى حصار,Çayhisar
جاى قيو,Çaykuyu
جايم,Cayim
جاينجه,Çayniçe
جب آبّلات,Cübb-i Abbelat
جبارات,Cebbarat
جباع,Ciba
جبال,Cubal
جبانس,Cabanis
جبة العسال,Cübbetülassal
جبرشن,Ceberşin
جبره,Cibre
جبل,Cebel
جبل احمر,Cebel-i Ahmer
جبل ادهميه,Cebel-i Edhemiye
جبل اربعه,Cebel-i Erbaa
جبل ارجيس,Cebel-i Erciyes
جبل اعلا,Cebel-i Ala
جبل اقراع,Cebel-i Akra
جبل اقرع,Cebel-i Akra
جبل اكراد,Cebel-i Ekrad
جبل الشيخ,Cebelüşşeyh
جبل باريشه مع خلقه لر,Barişa (Cebel-i Barişa) maa Halkalar
جبل بنى عليم,Cebel-i Benialim
جبل جرد,Cebel-i Cürd
جبل جسر,Cebel-i Cisr
جبل جن,Cebel-i Cin
جبل حبش,Cebel-i Habeş
جبل حفاش,Cebel-i Hufaş
جبل حفش,Cebel-i Hufaş
جبل حمرين,Cebel-i Hamrin
جبل حميده,Cebel-i Hamide
جبل حميص,Cebel-i Hamis
جبل حوله,Cebel-i Hula
جبل خوت,Cebel-i Hot
جبل درزى,Cebel-i Dürzi
جبل دمعراض,Cebel-i Demaraz
جبل ريحان,Cebel-i Reyhan
جبل ريمه,Cebel-i Reyme
جبل زوكور,Cebel-i Zukur
جبل سماق,Cebel-i Summak
جبل سمعان,Cebel-i Seman
جبل سمعان حانطومان,Cebel-i Seman
جبل سمّاق,Cebel-i Summak
جبل شمعان مع شروانلو,Cebel-i Seman (Şeman) maa Şirvanlı
جبل صبيار,Cebel-i Sabyar
جبل طور,Cebel-i Tur
جبل عامله,Cebel-i Amile
جبل عبد العزيز,Cebel-i Abdülaziz
جبل على,Cebel-i Ali
جبل غربيه,Cebel-i Garbiye
جبل قبلى,Cebel-i Kıbli
جبل قدس,Cebel-i Kudüs
جبل قصير,Cebel-i Kusayr
جبل قطه,Cebel-i Kuta
جبل قلمون,Cebel-i Kalemun
جبل قوزان,Cebel-i Kozan
جبل كسروان,Cebel-i Kisrevan
جبل كسروان و الجردين,Cebel-i Kisrevan ve'l-Cürdeyn
جبل كسروانين و الحرادين,Cebel-i Kisrevaneyn ve'l-Harradin
جبل كلبيه,Cebel-i Kelbiye
جبل لبنان,Cebel-i Lübnan
جبل محمد,Cebel-i Muhammed
جبل محمل,Cebel-i Muhammel
جبل مريس,Cebel-i Murays
جبل مع عشيرت بوله جلى,Cebel maa Aşiret-i Bulacalı
جبل موسى,Cebel-i Musa
جبل نصيرى,Cebel-i Nusayri
جبل و ترسيحا,Cebel ve Terşiha
جبل و ترشيحا,Cebel ve Terşiha
جبله,Cebele
جبلى,Cebeli
جبلِ غربيه,Cebel-i Garbiye
جبه,Cübbe
جبه الوس,Cübbe [ve] Alus
جبهة على,Cebhetü Ali
جبور و ابو سليمان و حديدى و گرگرى,Cebur ve Ebusüleyman ve Hadidi ve Gergeri
جبول و باب و منبج,Cebbul ve Bab ve Menbic
جبيل,Cübeyl
جبيل اسكله سى,Cübeyliskelesi
جبّة البشرى مع توابع,Cübbetülbeşera maa tevabi
جبّه,Cübbe
جتال برغوس,Çatalbergos
جتالجه,Çatalca
جترليك,Çetirlik
ججرك,Çeçerek
جدري,Cederi
جديد,Cedid
جديد اندرونئ سيواس,Cedid Enderuni-i Sivas (?)
جدّه,Cidde
جرءالعلفه,Cerrilalife
جرباز,Cirbaz
جربان,Çırpan
جربه,Cerbe
جربو عيه,Cerbuiye
جربوعيه,Cerbuiye
جرجا,Circa
جرجه,Circa
جرد,Cürd
جرد جنوبى,Cürd-i Cenubi
جرد شمالى,Cürd-i Şimali
جرد كسروان,Cürd-i Kisrevan
جرش,Cereş
جركش,Çerkeş
جرمك,Çermik
جرمن,Çirmen
جرمياذو,Çermiyazo
جرميك,Çermik
جرنه رقه,Çernereka
جرنوى,Çernovi
جرنيك,Çernik
جره,Cerre (?)
جره ويك,Çerevik
جزآير,Cezayir
جزائر بحر سفيد,Cezayir-i Bahr-i Sefid
جزائراثنا عشر,Cezayir-i İsna Aşer
جزائراثنى عشر,Cezayir-i İsna Aşer
جزائرسبعه,Cezayir-i Seba
جزان,Cizan
جزان و فرسان,Cizan ve Ferasan
جزاير,Cezayir
جزاير بحر سفيد,Cezayir-i Bahr-i Sefid
جزاير بوّارين و مصطفاعيه و لافيه و العين,Cezayir-i Bevvarin ve Mustafaiye ve Lafiye ve el-Ayn
جزاير جديد,Cezayir-i Cedid
جزاير غرب,Cezayir-i Garb
جزاير و قپودانلق دريا,Cezayir ve Kapudanlık-ı Derya
جزايربحرسفيد,Cezayir-i Bahr-i Sefid
جزره,Cizre
جزيرۀ عليا,Cezire-i Ulya
جزيرۀ قاتوقصري,Cezire-i Katokasrı
جزيرۀ كوچك,Cezire-i Küçük
جزيرۀكبير,Cezire-i Kebir
جسان,Cessan
جسان و بدره,Cessan ve Bedre
جسر,Cisr
جسر شغور مع ناحيۀ دركوش و اردو,Şugur (Cisr-i Şugur) maa Nahiye-i Derkuş ve Ordu
جسر چاشنيگير,Cisr-i Çaşnigir
جسرصاحب,Cisr-i Sahib
جسّان,Cessan
جشمه,Çeşme
جصان,Cessan
جعفري,Caferi
جغا,Çağa
جفاتين,Cafatin
جفته,Çifte
جفتين,Cafatin
جفر,Cefr
جكده,Ceğde
جكلنه,Çiğlene
جكمجه صغير,Çekmece-i Sagir
جكمجه كبير,Çekmece-i Kebir
جكمجۀ صغير,Çekmece-i Sagir
جكمجۀ كبير,Çekmece-i Kebir
جلاره,Cilara
جلالى و خيدرانلو و زيلانلو,Celali ve Haydaranlı ve Zilanlı
جلانكر,Cilanger
جلاير,Celayir
جلبرد,Çelaberd
جلبلى,Celebli
جلبوغاز,Çilboğaz
جلبى بازارى,Çelebipazarı
جلبيلر,Çelebiler
جله برد,Çelaberd
جلوۀ عليا جلوۀ سفلا,Cilo-i Ulya Cilo-i Süfla
جليكانلى,Çelikanlı
جليما,Cilima
جم,Çem
جمادانلى,Cemadanlı
جماسه,Cemmase
جماسيه,Cemmase
جماش,Çamaş
جماعت شهدلو,Cemaat-i Şehidli
جماعين,Cemmain
جماعين ثانى,Cemmain-i Sani
جماله,Cemale
جمشكزك,Çemişgezek
جمعه,Cuma
جمعه آباد,Cumaabad
جمعه اباد,Cumaabad
جمعه لو,Cumalı
جمعه لى,Cumalı
جمعۀ بالا,Cuma-i Bala
جمماسه,Cemmase
جميل بك,Cemilbey
جمين,Cimin
جمّاسه,Cemmase
جمّاسَه,Cemmase
جمّاعين,Cemmain
جنابة,Cennabe
جنان,Canan
جنبى,Cinbi
جنت آباد,Cennetabad
جنجفه,Cincife
جنداوغلى,Çendoğlu
جنس,Cinis
جنكانه,Çingane
جنكرلى,Çengerli
جنكه,Çinge
جنكوله,Cengula
جنوب,Cenub
جنيس,Cinis
جنين,Cenin
جنين عطا قولنه,Cenin Atakulna (?)
جنينه,Cüneyne
جنيه,Cünye
جهارشنبه,Çarşamba
جهان بك,Cihanbey
جهان بكلى,Cihanbeyli
جهانبكلى,Cihanbeyli
جهانبگلو,Cihanbeyli
جهران,Cehran
جهرين,Çehrin
جوارق,Civarık
جوارى,Cevari
جوازر,Cevazir
جوازير,Cevazir
جوبال,Cubal
جودى,Cudi
جورس,Coras
جورلى,Çorlu
جورم,Çorum
جورم كوردى,Çorumkürdü
جوره,Cora
جوره كى,Çöreği
جوز دره سى,Cevizderesi
جوزلك,Cevizlik
جوستان,Custan
جوف,Cuf
جوكه,Çöke
جومه ثلثِ عكّار,Cume [maa] Sülüs-i Akkar
جوندورون,Condoron
جونيه,Cünye
جويز دره سى,Cevizderesi
جويز دره سى و فنارس و افراز و اونيه و چوره كى,Cevizderesi ve Fenaris ve İfraz ve Ünye ve Çöreği
جويزلك,Cevizlik
جويزلى,Cevizli (?)
جيحان,Ceyhan
جيده,Cide
جيده در اسكلۀ كيدوس,Cide der-İskele-i Kidos
جيرقان,Çırkan
جيرود,Ceyrud
جيزان,Cizan
جيزه,Cize
جيزه و طبريه,Cize-i Safed (Cize) ve Taberiye
جيزۀ صفد,Cize-i Safed
جيلوانا,Cilvana
جيمين,Cimin
جَرْبَه,Cerbe
جَغاوَه,Cağave
جُدَيده,Cüdeyde
جِرِيدْ,Cerid
جِزَه,Cize
حابور,Habur
حاجلر,Hacılar
حاجى احمدلو,Hacıahmedli
حاجى الياس,Hacıilyas
حاجى اوغلى بازارى,Hacıoğlupazarı
حاجى بكتاش مع مجور,Hacıbektaş maa Mucur
حاجى بكتاش مع يوزده جيان,Hacıbektaş maa Yüzdeciyan
حاجى بهرام مع نواحى,Hacıbehram maa Nevahi
حاجى حمزه,Hacıhamza
حاجى شيخ,Hacışeyh
حاجى عمر بك,Hacıömerbey
حاجى فياض,Hacıfeyyaz
حاجى لى,Hacılı
حاجى يوزغاد,Hacıyozgad
حاجي شيخ,Hacışeyh
حاجيلر,Hacılar
حاجيلر و توابعى,Hacılar ve Tevabii
حاجيلو,Hacılı
حاجين,Haçin
حارثه,Harise
حارس,Haris
حارشد,Harşid
حارف,Harif
حارم,Harim
حاريم,Harim
حاسه,Hassa
حاسه مع درسه,Hassa maa Durse
حاسيا,Hasiye
حاص,Has
حاصبيا,Hasbeyya
حاصلرمع قرجوه,Haslar maa Kraçova
حاصْبَيا,Hasbeyya
حاطهاز,Hathaz
حافصه,Havsa (Hafsa)
حافك,Hafik
حافيق,Hafik
حافيك,Hafik
حاكيف,Hakif
حاكپونيزيا,Hakiponiziya
حالة المبرز,Haletülmüberriz
حالد,Halid
حالقونيسى,Halkonisi
حالول,Halul
حالون ته سوس,Halontasos
حامو,Hamo
حامور,Hamur
حانطومان,Hantuman
حانمرود,Hanımrud
حانند بيل,Hanendebil
حاننده بيل,Hanendebil
حاويك,Havik
حايمانه,Haymana
حاچين,Haçin
حباب,Habab
حبرون,Habrun
حبزبنى,Habezbeni
حبزبينى,Habezbeni
حبسمانه,Habsamana
حبسمانه مع بولمان,Habsamana maa Bolaman
حبسمانه و ايباصدى,Habsamana ve Aybasdı
حبش,Habeş
حبش و حجاز,Habeş ve Hicaz
حبش و لواء جده و شيخ الحرملك مكّۀ مكرّمه,Habeş ve Liva-i Cidde ve Şeyhülharemlik-i Mekke-i Mükerreme
حبصمانه,Habsamana
حبوبات,Hububat
حبيش,Hubeyş
حته و نسبته,Hatta ve Nisbete (?)
حجاز,Hicaz
حجريه,Haceriye
حجله,Hacele
حجه,Hacce
حجيله,Huceyle
حد برع,Hadd-i Bera
حداره,Haddare
حداوندكار,Hüdavendigar
حده,Hada
حديثه,Hadise
حديده,Hudeyde
حذاق,Hazak
حذور,Hazzur
حرآم,Hram
حرا,Hira
حرات,Harat
حراز,Haraz
حراز و اشتفه طره ال حناح وقصر حور ومحمر و رو بطن,Cevazir (Haraz) ve İştifa [ve] Turra-i Al-i Cenah ve Kasr-ı Hur ve Muhammer ve Rubatın
حراسنو,Hrasno
حراشتان,Hraştan
حراله,Harala
حرام,Hram
حرام عتيق,Hram-ı Atik
حران,Harran
حران و چاى قيو,Harran ve Çaykuyu
حران و چاي قيو,Harran ve Çaykuyu
حربنده لى مع دكزلى,Harbendeli maa Denizli
حربى,Harbi
حربيه,Harbiye
حرتار,Hırtar
حرتوس,Hartvis
حرسوفى,Hırsofi
حرض,Harad
حركه,Herke
حرم,Harem
حرم اباد,Hürremabad
حرمان,Hurman
حرمنلى,Harmanlı
حرمين شريفين و يوركان كيره سون,Haremeyn-i Şerifeyn ve Giresun (Yörükan-ı Giresun)
حرمين عشيرتى و پرنك و توفاللو,Haremeyn Aşireti ve Pernek ve Tofallı (?)
حرنيش,Harniş
حروات,Hırvat
حروت,Harut
حرير,Harir
حرپوت,Harput
حزان,Hizan
حزو,Hazzo
حزور,Hazzur
حزّو,Hazzo
حسانى,Hasani
حسبك,Hasbek
حسراس,Hasras
حسن آباد,Hasanabad
حسن اباد,Hasanabad
حسن الا كراد,Hısnülekrad
حسن اووه,Hasanova
حسن بادريك,Hasanbadrık
حسن صويى,Hasansuyu
حسن قلعه,Hasankale
حسن كريشى,Hasangerişi
حسن كيف,Hısn-ı Keyf
حسن منصور,Hısn-ı Mansur
حسن چلبى,Hasançelebi
حسنكهف,Hısn-ı Keyf
حسنكيف,Hısn-ı Keyf
حسنلر,Hasanlar
حسين آباد و ممالو,Hüseyinabad ve Mamalı
حسينى,Hüseyni
حسيچه,Hasiçe
حشا,Haşa
حشا مع عماره,Haşa maa Amare
حصار,Hisar
حصار روم ايلى,Hisar-ı Rumili
حصاران,Hisaran
حصارلق,Hisarlık
حصر و كبش و ام الرباب,Hasr ve Kebş ve Ümmürrebab
حصران,Hasaran
حصن الا كراد,Hısnülekrad
حصن الاكراد,Hısnülekrad
حصن كيف,Hısn-ı Keyf
حصن منصور,Hısn-ı Mansur
حصن منصور مع كاخته,Hısn-ı Mansur maa Kahta
حصنمنصور,Hısn-ı Mansur
حصنمنصور و صمصاد و بزه كى,Hısn-ı Mansur ve Samsad ve Biziki (Bizeki (?))
حصنى كيف,Hısn-ı Keyf
حضرو و بهرامنى,Hazro ve Mihrani (Behramni)
حضرون,Hazrun
حطاى,Hıtay
حطبلئ صغير,Hatablı-yı Sagir
حطوان,Hatvan
حطون,Hatvan
حظو,Hazzo
حفار,Haffar
حفاش,Hufaş
حفرا,Hufra
حفره,Hufra
حفره و شرقيه,Hufra ve Şarkiye
حفير,Hafir
حفّار,Haffar
حق على,Hakk-ı Ali
حقبان,Hakban
حقله,Hakala
حكارى,Hakkari
حكارى چال,Hakkari Çal
حكرى,Hakeri
حكري,Hakeri
حكومت شهران,Hükümet-i Şehran
حكيم خان,Hekimhan
حكّارى,Hakkari
حلانيّه,Halaniye
حلب,Haleb
حلبه,Halba
حلقه,Halaka
حلقى حولى,Halkahavlu
حللقى,Hallaki
حله,Hille
حلومج,Hulumiç
حلوميج,Hulumiç
حلونك,Hulvenk
حلى,Hali
حليميه,Halimiye
حلّه,Hille
حما,Hama
حما م خمص,Hama ve Humus
حما و حمص,Hama ve Humus
حما و معرة النعمان,Hama ve Maarratünnuman
حمار,Hammar
حمام,Hamam
حمام اوزى,Hamamözü
حمام على,Hammam-ı Ali
حمامات,Hammamet
حمدانيّه و سيحان,Hemdaniye ve Seyhan
حمرار,Hamrar
حمريك,Hümrik
حمزه,Hamza
حمزه چمني,Hamzaçimeni
حمزيكان,Hamzikan
حمس,Humus
حمص,Humus
حمنه,Hamine
حمو,Hamo
حميد,Hamid
حميد آباد,Hamidabad
حميد ايلى مع قضاهاء تركمش,Hamid (Hamidili) maa Kazaha-i Terkemiş
حميد مع بوردر,Hamid maa Burdur
حميديه,Hamidiye
حميديه قريه سى,Hamidiye karyesi
حميص,Hamis
حمّار,Hammar
حناجره,Hanacire
حندرس,Handırıs
حندق,Hendek
حندك,Hendek
حندوف,Hondof
حنس و تكمان,Hınıs ve Tekman
حنكان,Hinkan
حنوس مع تكمان و عشائر زريقى,Hınıs (Hınus) maa Tekman ve Aşair-i Ziriki
حوابى,Havabi
حوار,Havar
حواصور,Havasor
حواطب كبير,Havatıb-ı Kebir
حواطي,Huvati
حواقل,Hovakil
حواله,Havale
حوالى حطوب,Havali-yi Hutub
حوالى شررا,Havali-yi Şürra
حوبان,Huban
حوتاليج,Hotaliç
حوتاليچ,Hotaliç
حوتون,Hoton
حوجوان,Hoçuvan
حودى دده,Hodidede
حورالله,Havrullah
حوران و جبل دروز و رضوان الحاقليه عجلون,"Havran ve Cebel-i Düruz ve Rıdvanülhakileyye, Aclun"
حوران و جيدور,Havran ve Cidur
حوراه,Havrullah
حورتاچ,Hortaç
حورحون,Horhon
حورمان,Hurman
حورمووه,Hormova
حورودق بدرحو,Horodok Bederho
حوريده,Huride (?)
حوزات,Hozat
حوسته,Hosta
حوش الاى,Hoşalay
حوش اووا,Hoşova
حوصه,Havsa
حوض,Havz
حوضه,Havza
حوطاشلى,Hotaşlı
حوطمش,Hotamış
حوقو,Hoko
حوكاد,Hokad
حولان,Havlan
حوله و شعرا,Hula ve Şara
حوما,Homa
حوما و كيكلر,Homa ve Geyikler
حومه,Homa
حوناز,Honaz
حوناز و تموق,Honaz ve Temuk
حوند,Hond
حوواكل,Hovakil
حوي,Hoy
حويت,Huyut
حويدر,Hoyder
حويزه,Huride (?) (Huveyza (?))
حويض,Haviz
حى نعمة الله,Hay Nimetullah
حياتى,Hayati
حيدران,Haydaran
حيدرى,Haydari
حيرانلى,Hayranlı
حيرسز اطه لر,Hayırsız Adalar
حيرون,Hiron
حيزان,Hizan
حيزان و نمران و مروانان,Hizan ve Namran ve Mervanan
حيس,Hays
حيطان,Haytan (Hoytan (?))
حيفا,Hayfa
حيكوك,Haykok
حيمانتين مع عشيرت موزاتلو و چاليش و طوباقلو,Haymanateyn maa Aşiret-i Mozatlı ve Çalış ve Topaklı
حيمانه,Haymana
حيمانۀ صغير,Haymana-i Sagir
حَابُور,Habur
حَبَشْ,Habeş
حَزّو,Hazzo
حَصْره,Hasra
حَطْوَانْ,Hatvan
حَمص,Humus
حَمص مع تَدمُر,Humus maa Tedmür
حِلّه,Hille
خا تون سراى,Hatunsaray
خا تونسراى,Hatunsaray
خا ندوش,Handuş
خابس مانه,Habsamana
خابور,Habur
خاتون,Hatun
خاتون ايلى,Hatunili
خاتون ويران,Hatunviran
خاجيلو و كوركجيلو و صارى جام,Hacılı ve Kürkçülü ve Sarıçam
خاخو,Haho
خادم كوى,Hadımköy
خارات,Harat
خاراقا,Haraka
خارديش,Hardiş
خارشيد,Harşid
خارق,Hark
خارقوس,Harkus
خارپوط,Harput
خازى,Hazi
خاص,Has
خاص بوغا,Hasboğa
خاص كوى,Hasköy
خاصبوغه,Hasboğa
خاصكوى,Hasköy
خاصلرمع قرچوه,Haslar maa Kraçova
خاصلرمع قيرچوه,Haslar maa Kraçova
خاصه,Hassa
خاصهاء استانبول,Hasha-i İstanbul
خاصّهاء ارنود,Hasha-i Arnavud
خاطون ايلى,Hatunili
خاكس,Hakis
خاكف,Hakif
خاكيف,Hakif
خالخال,Halhal
خالص,Halis
خالق قريم و قالغالق قريم,Kırım Hanlığı ve Kalgaylık-ı Kırım
خامور,Hamur
خان بارچين,Hanbarçın
خان كندى,Hankendi
خان يونس,Hanyunus
خانبارجين,Hanbarçın
خانبارچين,Hanbarçın
خاندرا,Handra
خاندريس,Handırıs
خانقاه,Hankah
خانقين,Hanekin
خانلى,Hanlı
خانمرود,Hanımrud
خاو,Hav
خاوه,Have
خايمانه,Haymana
خاچوك,Haçük
خاچين,Haçin
خبوس,Hupus
خداثى,Hadasi
خداوندكار,Hüdavendigar
خداوندگار,Hüdavendigar
خرابه مع صاتو قلعه,Harabe maa Satukale
خرابه و تخرين,Harabe ve Temzin (Tahrin)
خرابه و تمزين,Harabe ve Temzin
خراله,Harala
خرام,Hram
خربة حذور,Hırbet-i Hazzur
خربة حزور,Hırbet-i Hazzur
خربروت مع ملاطيه,Harput (Harburut) maa Malatya
خربوت,Harput
خربۀ حذور,Hırbet-i Hazzur
خرتوس,Hartvis
خردال,Hardal
خردل,Hardal
خرسز,Hırsız
خرسوفى,Hırsofi
خرشدلر,Hurşidler
خرطوم,Hartum
خرقه,Hırka
خركون,Hargün
خرمانجق,Harmancık
خرمنجق,Harmancık
خرمنجك,Harmancık
خرمنلى,Harmanlı
خرناباد,Harnabad
خروات مملكتي,Hırvat Memleketi
خروس,Horos
خروش رستم,Horuşrüstem
خرومناستر,Hromanastır
خرّوب نصارا,Harrub-ı Nasara
خرپوت,Harput
خرپوط,Harput
خزان,Hizan
خزانه,Hazane
خزل,Hazel
خساران,Hasaran
خساني,Hasani
خسره ويران,Hösreviran
خسرو,Hüsrev
خسرو پاشا,Hüsrevpaşa
خشورنى,Hoşorni
خضر بك ايلى مع دورك و چهارشنبه,Çaycuma (Hızırbeyili) maa Devrek ve Çarşamba
خضر دراجى,Hızırdürraci
خطوان,Hatvan
خلازومن,Halazomen
خلت مع فاتر,Hallet maa Fatir
خلخلان,Halhalan
خلخنه,Hılhına
خلفتى,Halfeti
خلقلو,Halkalı
خلقه,Halaka
خلكان مع حضران,Halkan maa Hadran
خللقى,Hallaki
خلومج,Hulumiç
خلونيك,Holavnik
خليل الرحمن,Halilürrahman
خليل بگلى,Halilbeyli
خليل پاشا يوردى,Halilpaşayurdu
خليل چاوش,Halilçavuş
خمارجى,Hımarcı
خماره,Hımara
خمر,Hamir
خمس ساحل سيلين,Hums ve Sahil-i Silin
خمسه,Hamise
خمص,Humus
خميس,Hamis
خميسه,Hamise
خميسيه,Hamisiye
خندرس,Handırıs
خندق,Hendek
خندك,Hendek
خنزورى,Hınzori
خنزيره,Hınzıra
خنزيرى,Hınzırı
خنزيري,Hınzırı
خنس و تكمان,Hınıs ve Tekman
خوابى,Havabi
خوابي,Havabi
خواجه بك,Hocabey
خواجه لر,Hocalar
خوارزم و سراجلو,Horzum ve Siraclı
خواسور,Havasor
خواص,Havas
خواص محمود پاشا,Havass-ı Mahmudpaşa
خواصور,Havasor
