osmanlica,transkripsiyon
برداروه,Bardarova
برداقجى,Bardakçı
بردع,Berda
بردعه,Berda
بردنچ,Berdeniç
بردونه,Berdone
برديك,Berdik
برزاوه,Bırzava
برزرين,Prizrin
برزرين مع صهريقه,Prizrin maa Suhorika
برزلوق,Berezluk
برزنجه,Berzence
برزنه,Brezne
برزنيق,Breznik
برزنيك,Breznik
برزنچه,Brezniçe
برزوه,Bırzava
برزويچه,Brezoviçe
برزيقه,Brezika
برزيه,Birziye
برسبه,Prespa
برسجان,Presiçan
برسنيچه,Bresniçe
برسه,Bursa
برسيس,Bersis
برشتنه,Priştine
برطان,Beritan
برع,Bura
برغاز جديد,Burgaz-ı Cedid
برغازجديد,Burgaz-ı Cedid
برغمه,Bergama
برغوس صغير,Bergos-ı Sagir
برغوس كبير,Bergos-ı Kebir
برغومه,Birgoma
برق بسرمن,Berekbösörmen
برقاس,Berkas
برقه,Berka
برقوفجه,Berkofça
برقوفچه,Berkofça
بركان,Berkan
بركت اوغلى,Bereketoğlu
بركتلو,Bereketli
بركتلى,Bereketli
بركجى,Bergici
بركشاط,Bergüşat
بركه,Bereke
بركى,Birgi
برلبه مع مورجوه,Pirlepe maa Morihova (Moriçova)
برلوشجه,Broloşce
برلوغنده,Pirlavganda
برمانه,Burumana
برمقسز,Parmaksız
برناز,Pırnaz
برندى,Berendi
برندى و اياس,Berendi ve Ayas
برندي,Berendi
برنه,Berne
برنوار,Berenvar
بره,Bare
بره جك,Birecik
بره ده,Berada
بره زن,Berezen
بره زنجه,Berezenice
بره زنيجه,Berezenice
بره زنچه,Berezenice
بره زه بانا (؟),Brezebana (?)
بره زوه پوله,Brezovapole
بره زويچه,Brezoviçe
بره سيمين,Beresimin
بره كتلو,Bereketli
بره كتلو مع چام اردى,Bereketli maa Çamardı
بره مدى,Premedi
بره من,Beremen
بره وادى,Prevadi
برهان,Burhan
برهانيه,Burhaniye
برواراوه,Bırvarava
بروارى ژورى مع بروارى زيرى,Pervari-i Juri maa Pervari-i Jiri
بروانيك,Bırvenik
بروجرد,Burucerd
برود,Brod
برود و اسرم چرنيك (؟),Bosna Brodu (Brod) ve İsrem-i Çernik (?)
برودار,Brodar
بروزه,Beruze
بروسا,Bursa
بروسه يكيجه,Bursa Yenice
برولوشجه,Broloşce
برونيك,Bırvenik
بروه نيك,Bırvenik
بري,Berri
بريبود,Pripod
بريد و الوت,Berid (?) ve Alut
بريقه,Büreyka
بريقه [و] جدابيه,Büreyka [ve] Cidabiye
بريوتيچه,Piryotiçe
برييك,Priyeg (Briyeg)
برييه,Beriye
بريپوى,Priboy
برّشامى,Berr-i Şami
برچقه,Bırçka
برچه,Birçe
برچه مع كنزين,Birçe maa Kenzin
برچين,Berçin
بزخلفان,Bezahlefan
بزرى,Bizeri
بزم الغربى,Bezmülgarbi
بزنيك,Bezenik
بزور اوق,Bozok
بزينه رود,Bizinerud
بسارابيا,Besarabya
بسارابيه,Besarabya
بستريچه,Bistriçe
بستيه ادالرى,Sapiyanza Adaları
بسرمان,Bösörman
بسرمن,Bösörman
بسقبو,Piskopi
بسقوبو,Piskopi
بسقوبى,Piskopi
بسكنتا,Biskinta
بسميل,Bismil
بسيط,Basit
بسپريم,Besprim
بش آطه لر,Beş Adalar
بش اطه لر,Beş Adalar
بش ديوان,Beşdivan
بش قباق,Beşkabak
بش قوناق,Beşkonak
بش پارمق,Beşparmak
بشتريچه,Biştriçe
بشخابور,Bişhabur
بشديوان,Beşdivan
بشراى,Bişerri
بشروم,Büşürüm
بشقوناق,Beşkonak
بشكطاش,Beşiktaş
بشورم,Büşürüm
بشير,Beşir
بشيرى,Beşiri
بشيرى مع نواحى,Beşiri maa Nevahi
بصرالحرير,Busrulharir
بصره دكزى,Basra Denizi
بصره و لحسا,Basra ve Lahsa
بصود,Bosud
بصيره,Busayra
بطح,Bıttıh
بطحا,Batha
بطحه,Batha
بطرون,Batrun
بطمان,Batman
بطيحه,Butayha
بعبدا,Baabda
بعس,Baas
بعشيقه,Başika
بعقلين,Baaklin
بعقوبه,Bakuba
بعلبك,Baalbek
بعلبك مع كركنوح عليه السلام,Baalbek maa Kerek-i Nuh Aleyhisselam
بغارينه,Bogarine
بغاز حصار,Boğazhisar
بغداد,Bağdad
بغداد اصلاحيه,Bağdad Islahiye
بغداد رشاديه,Bağdad Reşadiye
بغداد عزيزيه,Bağdad Aziziye
بغداد مع شهر زور,Bağdad maa Şehr-i Zor
بغدان,Boğdan
بغدان رپه,Boğdanripe
بغدانوس,Boğdanos
بغدين كبير,Bağdın-ı Kebir
بغلاى,Baglay
بغلوان,Bağlevan
بغچه جك,Bağçecik
بقاع,Bika
بقاع العزيز معلقه,Bikaülaziz-i Muallaka
بقاع شرقى,Bika-i Şarki
بقاع غربى,Bika-i Garbi
بقراص,Bakras
بقرى,Bakrı
بقعه (؟),Buka (?)
بقل اب باريك,Bakal Ab-ı Barik
بقلاك,Baklan
بقلان,Baklan
بقلاڭ,Baklan
بقيه نوه مع دربند كبير,Nova (Bakiye-i Nova) maa Derbend-i Kebir
بقيۀ قوستلنجه,Kostayniçe (Bakiye-i Kostalinçe)
بك,Bey
بك اوغلى,Beyoğlu
بك بازارى,Beypazarı
بك شهرى,Beyşehri
بك طاغلرى,Bey Dağları
بك طاغى,Beydağı
بك پازارى,Beypazarı
بك پيكارى,Beypınarı
بكان,Began
بكبازارى,Beypazarı
بكتاش,Bektaş
بكجه,Beyce
بكدك دربندى,Bekdik Derbendi
بكر,Bekir
بكرش,Bükreş
بكسا,Beksa
بكسماد,Peksimad
بكشهرى,Beyşehri
بكشهرى مع چمن,Beyşehri maa vilayet-i Çimen
بكشهرى و سيدى شهرى,Beyşehri ve Seydişehri
بكشهري,Beyşehri
بكطاغى,Beydağı
بكقوز,Beykoz
بكلين,Peklin
بكه,Bege
بكور دلن,Böğürdelen
بكيش,Bekiş
بكپازارى,Beypazarı
بكپنارى,Beypınarı
بل,Bel
بل ويران,Belviran
بلا استنه,Belaistene
بلااستنه,Belaistene
بلابان,Balaban
بلابانجه,Balabanca
بلابرده,Belabırda
بلابنلى,Balabanlı
بلاتنه,Platine
بلاته,Blata
بلاتى,Plati
بلاج,Blac
بلاجك,Bilecik
بلاخور,Balahor
بلاد البربر,Biladülberber
بلاد البستان,Biladülbostan
بلاد الرؤس,Biladürruus
بلاد الرؤس و بنى بهلول,Biladürruus ve Benibehlül
بلاد بنى بشارا,Bilad-ı Benibeşara
بلاد ثلاثه,Bilad-ı Selase
بلاد خمسه,Bilad-ı Hamse
بلاد سباء,Bilad-ı Seba
بلاد همدان,Bilad-ı Hemdan
بلاس,Palas
بلاسنجه,Belasniçe
بلاسيق,Blasık
بلاط,Balat
بلاط مع بافى,Balat maa Bafa
بلاط مع كبسود,Balat maa Kepsud
بلاط مع ناحيۀ بافى,Balat maa Nahiye-i Bafa
بلاطمنه,Platimana
بلاطنس,Belatnis
بلاطون,Balaton
بلاغاى,Blagay
بلاغاي,Blagay
بلاقا,Plaka
بلاقلوه,Balaklava
بلان,Belen
بلاوى,Bilavi
بلاى بلاغاى,Blayblagay
بلاى بونيك,Blaybunik
بلاىه,Dragonizi (Blana (?))
بلاي بارلته,Blaybarlete
بلاي بلاغاي,Blayblagay
بلاچ,Blac
بلاژوى بازار,Blajuypazar
بلباس عشيرتى,Belbas Aşireti
بلبل جك,Bülbülcük
بلبلجك,Bülbülcük
بلبلجه,Bülbülce
بلجك,Bilecik
بلجنه مارى طاغى,Belcene Mari Dağı
بلد الدوالى,Beledüddevali
بلد روز,Beledruz
بلدالعناب,Beledülannab
بلدروز,Beledruz
بلده,Belde
بلغار,Bulgar
بلغارستان,Bulgaristan
بلغارستان امارتى,Bulgaristan Emareti
بلغاى,Blagay
بلغراد الانغروس,Belgrad-ı Üngürüs (Belgradülüngürüs)
بلغراد انگروس,Belgrad-ı Üngürüs
بلغراد اونكروس,Belgrad-ı Üngürüs
بلغراد دلاموج,Belgrad-ı Dalamuç
بلغراد دلاموچ,Belgrad-ı Dalamuç
بلغراد مع حصارجق,Belgrad-ı Üngürüs (Belgrad) maa Hisarcık
بلغرادجق,Belgradcık
بلغرادچق,Belgradcık
بلقا,Belka
بلقا مع سلط,Belka maa Salt
بلقاجى,Balkacı
بلقاص,Belkas
بلقاع,Belka
بلك,Belen
بلكۀ جبل و عشيرت خيرويللى و قره بوجيلى و بخشش و قره حاجيلى,Bölge-i Cebel ve Aşiret-i Hayrilli ve Karaböcülü ve Bahşeş ve Karahacılı
بللسمر,Billesmer
بللوط پيكارى,Bellutpınarı
بلن,Belen
بلنجه (؟),Beleniçe (?)
بلنوش,Balnuş
بله,Bile
بله ترنيك,Bleternik
بله جك,Bilecik
بلهوه,Bolhova
بلو ركنارسو (؟),Beloriknarso (?)
بلو قصرى,Palokasrı
بلوران,Belviran
بلوك باشى,Bölükbaşı
بلوكباشى,Bölükbaşı
بلونه,Plevne
بلوه,Pileva
بلووا,Belova
بلويران,Belviran
بلوپاوليك,Belopavlik
بلوپولو,Belopulo
بليان,Balyan
بليانبولى,Balyanbolu
بليجان,Bilican
بليخ,Balıh
بليده,Bilida
بنا لوقه,Banaluka
بنابروزه,Benaberuze
بناجو,Benacu
بنادوس,Banados
بناز,Banaz
بنالسخو,Benalesho (?)
بنالوقه,Banaluka
بنان,Banan
بنانى,Benani
بنت اصنوع,Bint-i Usnu
بنت الذل,Bintüzzel
بنت عقفش,Bint-i Akfeş
بنت قاطوف,Bint-i Katuf
بنجار,Pincar
بند ارگلى,Bendereğli
بند بالا كريوه,Bend-i Bala Gerive
بند ماهى,Bendimahi
بندر,Bender
بندر و ايوانشتى,Bender ve İvaneşti
بندراركلى / بندركلى,Bendereğli
بندركلى,Bendereğli
بنده,Bende
بنده اركلى,Bendereğli
بنديه,Bendiye
بنشيه,Binşiye
بنغازى,Bingazi
بنفشه,Benefşe
بنقويك,Benkovik
بنك مع مامرمان,Penek maa Mamervan
بنكدره,Binküdre
بنكدره و طائفۀ باجلان و محلان,Binküdre ve Bacıvan (Taife-i Bacilan) ve Mahlan
بنه,Buna
بنها العسال,Benha el-Asal
بنى اسد,Beniesed
بنى الاعسر,Benilaser
بنى العوام,Benilavvam
بنى بهلول,Benibehlül
بنى تيم,Beniteym
بنى جحمه,Benicehme
بنى جهمه,Benicehme
بنى حارث,Beniharis
بنى حارث القبلا و الشمال,Beniharisülkıbela ve eş-Şimala
بنى حارث و بنى حبش,Beniharis ve Benihaşiş (Benihabeş)
بنى حارث و بنى حسين,Beniharis ve Benihaşiş (Benihüseyin)
بنى حارث و بنى حشيش,Beniharis ve Benihaşiş
بنى حبير,Benihabir
بنى حرام,Beniharam
بنى حسن,Benihasan
بنى حشيش,Benihaşiş
بنى ربيعه,Benirebia
بنى زرد,Benizerd
بنى زيد,Benizeyd
بنى سعيد,Benisaid
بنى سويف,Benisüveyf
بنى سُوَيف,Benisüveyf
بنى سُوَيفْ,Benisüveyf
بنى سُوَيْف,Benisüveyf
بنى شهر,Benişehr
بنى صرما,Benisarma
بنى صرمه,Benisarma
بنى صعب,Benisaab
بنى عاتكه,Beniatike
بنى عاتكه و كفارات,Beniatike ve Kefarat
بنى عبدلله,Beniabdullah
بنى عصبه,Beniusbe
بنى علوان,Benialvan
بنى على,Beniali
بنى عمر,Beniömer
بنى عوام,Beniavam
بنى قيس,Benikays
بنى كلاب,Benikilab
بنى كنانه,Benikinane
بنى لام,Benilam
بنى مالك,Benimalik
بنى مالك الصدير,Benimaliküssadir
بنى مره وبنى سالم,Benimürre ve Benisalim
بنى مقلد,Benimuklid
بنى منصور,Benimansur
بنى مَظَرْ,Benimazar
بنى نشيه,Beninişye
بنى هلال,Benihilal
بني منصور,Benimansur
بنيان,Bünyan
بنگله,Bengale
بهادر,Bahadır
بهار,Bihar
بهاراوزى,Baharözü
بهارلى,Baharlı
بهتان,Bohtan
بهرام كوى,Behramköy
بهرام كويى,Behramköyü
بهرامكى,Behramki
بهرامگى,Behramki
بهرماز,Behrimaz
بهرينه و قورپنه,Bihorine ve Krupine (Kurpine)
بهسنى,Behisni
بهسنى مع عشائر,Behisni maa Aşayir
بهسنى و حصنمنصور,Behisni ve Hısn-ı Mansur
بهسنى وسورك,Behisni ve Siverek
بهسني,Behisni
بهكه,Bihke
بهلشته,Bihlişte
بهلوليه,Behlüliye
بهلوليّه,Behlüliye
بهمرد,Behmerd
بهور,Bihor
بهورنه,Bihorine
بهورينه,Bihorine
بو تينى,Butina
بو قشاشيه,Bukuşaşiye
بوارد,Bavarid
بوبان,Boban
بوبر,Büber
بوبكان,Bubikan
بوبوجي,Popovci
بوبوفجه,Bobofça
بوبوفچه,Bobofça
بوبيان,Bubiyan
بوترنتو,Butrinto
بوتما,Butma
بوتنيك,Putnik
بوجاق,Bucak
بوجاق مع عشائر,Bucak maa Aşair
بوجتل,Poçitel
بوحاق,Bucak
بوداق,Budak
بوداق اوزى,Budaközü
بودبوجيه,Podbuçye
بودرم,Bodrum
بودروم,Bodrum
بودغوراچ,Podgoraç
بودغوريجه مع قره طاغ,Podgoriçe maa Karadağ
بودمله,Budimle
بودمله مع بلاو,Budimle maa Plav
بوده (؟),Bode (?)
بودورم,Bodrum
بودوق,Bodok
بودى,Budi
بوديمله,Budimle
بودين,Budin
بودييه,Bodiye
بور,Bor
بور مع قاف,Bor maa Kayı (Kaf)
بور مع قانى,Bor maa Kayı (Kani)
بور مع قايى,Bor maa Kayı
بوراج,Boraç
بوراواج,Boravac
بوراچ,Boraç
بوربوچقو,Borboçko
بوردر,Burdur
بوردور,Burdur
بوردور و اورله,Burdur ve İrle (Urla)
بوردير,Burdur
بورسقوفچه,Boriskofça
بورسلنوفقه,Bruslinofka
بورسه,Bursa
بورغاز,Burgaz
بورغاس,Burgas
بورغى,Burgu
بورلات,Burlat
بورلجه,Burulca
بورلو,Borlu
بورلوس,Burulus
بورلى,Borlu
بورناز,Burnaz
بورنك,Pürnek
بورهان,Burhan
بورهوه,Borohova
بوري كول,Burugöl
بوريه,Borye
بوريچوچه,Boriçeviçe
بورچقه,Borçka
بورچه,Porçe
بورچو,Borçov
بوز آباد,Bozabad
بوز ابآد,Bozabad
بوز اباد,Bozabad
بوز اوق,Bozok
بوز اووا,Bozova
بوز اويك مع اين اوڭى,Bozöyük maa İnönü
بوز اويوك,Bozöyük
بوز بابا,Bozbaba
بوز برون,Bozburun
بوز بورن,Bozburun
بوز قير,Bozkır
بوزآغاج,Bozağaç
بوزا,Boza
بوزات,Bozat
بوزاتلو,Bozatlı
بوزاطه,Bozada
بوزاغاج,Bozağaç
بوزاغاج بولكه سيله كلنار,Bozağaç bölgesiyle Gülnar
بوزانطى,Pozantı
بوزاوق,Bozok
بوزاوق صورقونى,Bozok Sorkunu
بوزاولوس,Bozulus
بوزاووه,Bozova
بوزاويوك,Bozöyük
بوزبابا,Bozbaba
بوزبرون,Bozburun
بوزجه آطه,Bozcaada
بوزجه اده,Bozcaada
بوزجه اطه,Bozcaada
بوزدوغان,Bozdoğan
بوزروفجه,Pozarofça
بوزطاغى,Bozdağı
بوزطغان,Bozdoğan
بوزطغان بالا,Bozdoğan-ı Bala
بوزطغان مع ناحيۀ قواق,Bozdoğan maa Nahiye-i Kavak
بوزغوش,Bozguş
بوزقير,Bozkır
بوزقير و بكشهر,Bozkır ve Beyşehir
بوزلق,Bozluk
بوزلق و تودرغه و الپى و عشرلو يوزى,Bozluk ve Todurga ve Alpı ve Öşürlüyüzü
بوزلى,Bozlu
بوزمرت,Buzmeret
بوزوق,Bozok
بوزووار,Bozovar
بوزويچه,Bozoviçe
بوزى,Buzi
بوزياقه,Bozyaka
بوزين,Bozin
بوزيير مع قوريجق,Bozyer maa Kurucak
بوسان,Busan
بوستا,Busta
بوسنه,Bosna
بوسنه برودى,Bosna Brodu
بوسنه شامچه,Bosna Şamiçe
بوسنه طاغلرى,Bosna Dağları
بوسنه و هرسك,Bosna ve Hersek
بوسه,Bosna
بوشاد,Boşad
بوشادى,Puşadı
بوشاط,Buşat
بوشقه بلانه,Boşkaplana
بوشقه پلانه,Boşkaplana
بوشير,Buşeyr
بوصود,Bosud
بوصولجه,Busolca
بوط,But
بوطوچانى,Botuçani
بوغا,Boğa
بوغارينه,Bogarine
بوغاز,Boğaz
بوغاز حصار,Boğazhisar
بوغاز زير,Boğaz-ı Zir
بوغاز كبير,Boğaz-ı Kebir
بوغاز كويى,Boğazköyü
بوغازليان,Boğazlıyan
بوغدان,Boğdan
بوغرادچ,Pogradeç
بوغزليان,Boğazlıyan
بوغزي يومرى,Boğazıyumru
بوغناريت,Boğnarit
بوغه,Boğa
بوغوروديچه,Bogorodiçe
بوغوميل,Bogomil
بوغوينه,Bugoyna
بوغچه,Boğça
بوقا واتباله مع مرديتا,Puka ve İtbala maa Mirdita
بوقه مع اقباله,Puka maa İtbala (İkbale)
بوقوفچه مع اسلاتنيك,Bukofça maa Islatnik
بوقوويك,Bukovik
بوقويك,Bukvik
بوقويچه,Bukoviçe
بوك,Bük
بوكان,Bukan
بوكده,Bukede
بوكور دلن,Böğürdelen
بوكور ده لن,Böğürdelen
بولا جه لى,Bulacalı
بولاجالى,Bulacalı
بولاجلو,Bulacalı
بولاجلو و كشلو و تاتار عشيرتى,Bulacalı ve Keşli ve Tatar Aşireti
بولاق,Bulak
بولام,Bulam
بولامان,Bolaman
بولاماچ,Bolamaç
بولانق,Bulanık
بولانيق,Bulanık
بولاوادين,Bolavadin
بولاير,Bolayır
بولدان,Buldan
بولدق,Bulduk
بولرنو,Bolerno
بولغار,Polgar
بولغار مملكتي,Bulgar Memleketi
بولغناق,Bulganak
بولماج,Bulamaç
بولمان,Bolaman
بولمان و جماش,Bolaman ve Çamaş
بولميه,Polomiye
بولميه مع قره لوم,Polomiye maa Lom (Karalom)
بوله جلى,Bulacalı
بولوان,Bolvan
بولولى,Bolulu
بولى,Bolu
بولى قاندرى,Polikandri
بولى مع اركلى,Bolu maa Bendereğli (Ereğli)
بولى مع نواحى,Bolu maa Nevahi
بولي,Bolu
بوليجان,Bolucan
بوليقندري,Polikandri
بومبا,Bumba
بومبورى,Bombori
بونديغوسه,Pondigosa
بونيغيا,Bunigiya
بوهتان,Bohtan
بوى آباد,Boyabad
بوى اباد,Boyabad
بوى اباد مع يورتان,Boyabad maa Yortan
بوياق,Buyak
بويالق,Boyalık
بويالو,Boyalı
بويالى,Boyalı
بويان,Boyan (?)
بويانه,Boyana
بويانوفچه,Buyanofça
بويدى اطه جغى,Bovidi Adacığı
بوير,Buveyr
بويك قره صو,Büyükkarasu
بويميه,Boyimiye
بويناق,Boynak
بوينى يوغنلى,Boynuyoğunlu
بوپاقچه,Bopakça
بوچ وديك,Boçvodik
بوچالا,Boçala
بوچاچ,Boçaç
بوژور,Bujor
بوژيم,Bujim
بوگر دلن,Böğürdelen
بي سوچنه,Bisoçna
بيا نچه,Piyaniçe
بيات,Bayat
بيات اوزى,Bayatözü
بياد,Bayad
بياس,Payas
بياض اطه,Beyazada
بياض صو,Beyazsu
بياض قيا,Beyazkaya
بياض كوى,Beyazköy
بيالميك,Beyalemik
بيان,Beyan
بياو,Biyav
بيبول,Bibol
بيت ابو علوانه و توابعى,Beyt-i Ebuulvane ve Tevabii
بيت اعطاب,Beyt-i Itab
بيت الدين,Beytüddin
بيت الشباب,Beytüşşebab
بيت الشباب مع كويان سندى و كولملى,Beytüşşebab maa Goyan-ı Sindi ve Gölmeli (?)
بيت الشلف,Beytüşşilif
بيت الفقيه,Beytülfakih
بيت اللحم,Beytüllahm
بيت جبرين,Beyt-i Cibrin
بيتوش,Bituş
بيجاد,Bicad
بيجور مع منوف,Bicur maa Menuf
بيجُور مع منوف,Bicur maa Menuf
بيحاج,Bihac
بيحار,Bihar
بيدلف اطه لرى,Bidelf Adaları
بيده وى,Bidevi
بيرا وجبل قدس,Bira ve Cebel-i Kudüs
بيرام,Bayram
بيرام اوغلى,Bayramoğlu
بيرام پاشا قلعسي,Bayrampaşakalesi
بيرام پاشا پلنقه سى,Bayrampaşapalankası
بيرامج,Bayramiç
بيراملو,Bayramlı
بيراملو و قراجه قيونلى,Bayramlı ve Karacakoyunlu
بيراميج,Bayramiç
بيراميچ,Bayramiç
بيرامچ,Bayramiç
بيرة الجرد,Biretülcürd
بيرغو,Pirgo
بيرغومه,Birgoma
بيرغومه و يواش الى,Birgoma ve Yavaşili
بيرغى,Pirgı
بيركى,Birgi
بيركي,Birgi
بيرمانه,Birmana
بيره جك,Birecik
بيره جك تلكوران,Birecik-i Tilgören
بيره جك قائممقاملغى,Birecik Kaymakamlığı
بيره و كهيد,Bire ve Gühid (?)
بيروت رشاديه,Beyrut Reşadiye
بيروت و صيدا,Beyrut ve Sayda
بيروش عشيرتى,Biroş Aşireti
بيرون آباد,Birunabad
بيرون باب روس,Birun-ı Bab-ı Rus
بيرون باب له,Birun-ı Bab-ı Leh
بيرون يازلوفچه,Birun-ı Yazlofça
بيرونئ سيواس,Biruni-i Sivas
بيرين,Bireyn
بيرين مع جبل بارشه,Bireyn maa Cebel-i Barişa
بيرين مع ناحيۀ بارشه,Bireyn maa Nahiye-i Barişa
بيرين مع ناحيۀ جبل بارشه,Bireyn maa Nahiye-i Cebel-i Barişa
بيرچه,Birçe
بيزرطه,Bizerta
بيزه رى,Bizeri
بيسان,Bisan
بيسان مع جنين,Bisan maa Cenin
بيشه,Bişe
بيغا,Biga
بيغادج,Bigadiç
بيغاديج,Bigadiç
بيغاديچ,Bigadiç
بيغالو,Bigalı
بيغالى,Bigalı
بيك,Bey
بيك بوغا,Binboğa
بيك شهرى,Beyşehri
بيك كول,Bingöl
بيكار حصار,Pınarhisar
بيكار حصارى,Pınarhisar
بيكارى ايلى,Bikariili
بيكجگز,Beyceğiz
بيكلك (؟),Beylek (?)
بيل قواق,Belkavak
بيل ويران,Belviran
بيلا,Biyela
بيلاتى,Plati
بيلان كوى,Belenköy (Bilanköy)
بيلان مع بقراس نام ديكر تلك و ناحيۀ اسكندرون,Belen (Bilan) maa Bakras nam-ı diğer Tilek ve Nahiye-i İskenderun
بيلان مع بقراص,Belen (Bilan) maa Bakras
بيلاي بلاغاي,Blayblagay
بيلاي بيلاغاي,Blayblagay
بيلجك,Bilecik
بيلجه,Bilice
بيلكه,Bileke
بيله جك,Bilecik
بيله كه,Bileke
بيلوران,Belviran
بيلويران,Belviran
بيهور,Bihor
بيوك آطه,Büyükada
بيوك اسماعيلجه,Büyükismailce
بيوك اطه,Büyükada
بيوك غالانيس,Büyükgalanis
بيوك فنطه,Büyükfanta
بيوك قارشديران,Büyükkarışdıran
بيوك قره قارلى,Büyükkarakarlı
بيوك قره قرلى,Büyükkarakarlı
بيوك ليمان,Büyükliman
بيوك مركب,Büyükmerkeb
بيوك مندرس,Büyükmenderes
بيوك وديك,Büyükvodik
بيوك چكمجه,Büyükçekmece
بَبْرُوَه,Bebrova
بَخْشَشْ,Bahşeş
بَدْرِشين,Bedrişin
بَدْرِشِينْ,Bedrişin
بَرُمّانه,Berummane
بَرُمّانَه و رأس و شبانِيّه و قالوغَو و مُتَيْن و قَرْنائِل,Berummane ve Ras ve Şebaniye ve Kaluga ve Müteyn ve Karnail (Kamail)
بَرْديس,Berdis
بَرْدِيسْ,Berdis
بَرْقه,Berka
بَرْقُوفچَه,Berkofça
بَصْره,Basra
بَغدَاد,Bağdad
بَندَر,Bender
بَهْنَسَا,Behnesa
بُحَيْره,Buhayra
بُحَيْرَه,Buhayra
بُدين,Budin
بُغدَان,Boğdan
بُقاع العزيز,Bikaülaziz
بِلبيس,Bilbeys
بِلْبَيس,Bilbeys
بچ,Beç
بچ اولكه سي,Beç ülkesi
بچقه,Baçka
بچقوفجه,Biçkofça
بچكرك,Beçkerek
بچوره,Bucura
بچوى,Peçuy
بچي,Peci
بگشهرى,Beyşehri
بگطاغى,Beydağı
بگقوز,Beykoz
بگپازارى,Beypazarı
تؤدور,Teodor
تئودور,Teodor
تائيه,Taiye
تابان,Taban
تاتار,Tatar
تاتار احمد,Tatarahmed
تاتاربازارى,Tatarpazarı
تاتاربازارى مع اوه,Tatarpazarı maa Ova
تاتاربازارى مع نواحى,Tatarpazarı maa Nevahi
تاتاربكارى,Tatarpınarı
تاتارستان,Tataristan
تاتارلر,Tatarlar
تاتارلى,Tatarlı
تاتارپازارى,Tatarpazarı
تاتوان,Tatvan
تاتيك,Tatik
تاجورا,Tacura
تاجوره,Tacura
تارحاله,Tarhala
تارحاله مع صومه,Tarhala maa Soma
تارحانيات,Tarhanyat
تارحله,Tarhala
تارخاله,Tarhala
تارخان,Tarhan
تارخله,Tarhala
تارل (؟),Tereli (Tarıl (?))
تاره,Tara
تاروت,Tarut
تارون (؟),Tarun (?)
تارْخُونَه,Tarhuna
تازه خورماتو,Tazehurmatı
تازه خورماتى,Tazehurmatı
تاطليلر,Tatlılar (?)
تالين,Talin
تاماديه,Tamadya
تانا,Tana
تاورغه,Tavurga
تاَروُتْ,Tarut
تبارقه,Tabarka
تباها,Tebaha
تبريز,Tebriz
تبلوح,Tebluh
تبنين,Tibnin
تبنين و ساحل معركه,Tibnin ve Sahil-i Mareke
تبنين و شقيف,Tibnin ve Şakif
تبوك,Tebük
تبوچانى,Toboçani
تتل,Titel
تتنك,Titinik
تتون,Teteven
تجرلو,Tecirli
تحت الطريق,Tahtettarik
تحت الطّريق,Tahtettarik
تحتالو,Tahtalı
تحتلى,Tahtalı
تحته كوپرى,Tahtaköprü
تحته لى,Tahtalı
تخت,Tuht
تخمانس,Tahmanis
تدقر,Tedkar
تدمر,Tedmür
ترابوئين,Traboin
ترابين,Terabin
ترات,Turat
ترازيا,Teraziya
تراغوسا,Tragusa
تراغونيس,Tragonis
تراكيا,Trakiya
ترامبه تو,Trambeto
تران,Tiran
ترانيسى,Teranisi
تراونيق,Travnik
تراونيق مع كليس,Travnik maa Klis
تراونيك,Travnik
تربة القحم,Türbetülkahm
تربت القحم,Türbetülkahm
تربجه,Trebçe
تربستوه,Tribistova
تربنه,Trebine
تربه,Türbe
تربه دره,Türbedere
تربوه,Trebova
تربچه,Trebçe
ترجان,Tercan
ترجان سفلا,Tercan-ı Süfla
ترجان سُفْلَا,Tercan-ı Süfla
ترجان عليا,Tercan-ı Ulya
ترجيل,Tercil
ترحاله,Tırhala
ترحاله مع غلوس,Tırhala maa Golos
ترحاله مع نواحئ آروان و غارجان و بولانيه و قره جوه و خاصلر و اسپروپوتام,Tırhala maa nevahi-i Ardan (Arvan) ve Gariçan ve Polaniye ve Kraçova ve Haslar ve Aspiropotam
ترحاله مع نواحى,Tırhala maa Nevahi
ترحناس,Tarhanas
ترحونه,Tarhuna
ترخال,Turhal
ترخان,Tarhan
ترخانيات,Tarhanyat
ترخو,Terhu (?)
ترزى دره,Terzidere
ترزي ويران,Terziviran
ترساق,Tursak
ترسانه,Tersane
ترسته نيك,Tristenik
ترسون سفلالا,Tersun-ı Süfla
ترسيه,Tersiye
ترشمك,Türüşmek
ترشيحا,Terşiha
ترغوشته,Tirgovişte
ترغوشته مع نواحى,Tirgovişte maa nevahi
ترغووشته,Tirgovişte
ترغوويشته,Tirgovişte
ترغويشته,Tirgovişte
ترقوس,Terkos
ترقوشته,Tirgovişte
ترك,Terek
ترك اوغلى,Türkoğlu
تركانلو,Türkanlı
تركش,Tirkeş
تركمان,Türkmen
تركمان بوز اولوس,Türkmen-i Bozulus
تركمان حلب,Türkmen-i Haleb
تركمان و الاجه حان دربندى,Türkmen ve Alacahan Derbendi
تركمانان سلورى,Türkmenan-ı Selluriye
تركمانان سلوريه,Türkmenan-ı Selluriye
تركمش,Terkemiş (Türkemiş)
تركمش خاصى,Terkemişhassı
تركمن جلابى,Türkmencülabı
تركور,Tergever
تركَوَرْ,Tergever
ترلغان,Terilgan
