osmanlica,transkripsiyon
بُبْلُوْ ايلى,Bibol/Büblüvili
بيجاد,Bicad
بجنى,Bicni
بيجور مع منوف,Bicur maa Menuf
بيجُور مع منوف,Bicur maa Menuf
بچقوفجه,Biçkofça
بدعه,Bida
البداع,Bida/el-Bida
بيدلف اطه لرى,Bidelf Adaları
بيده وى,Bidevi
قره اغاج,Bidevi/Karaağaç
بيغا,Biga
بيغا,Biga
نفس بيغا,Biga merkez
پغه شهرى,Biga/Pigaşehri
بيغاديج,Bigadiç
بيغادج,Bigadiç
بيغاديچ,Bigadiç
بيغالى,Bigalı
بيغالو,Bigalı
بهار,Bihar
بيحار,Bihar
بحار,Bihar
بهكه,Bihke
نفس بهكه,Bihke merkez/Bihac
قلعۀ بهكه,Bihke/Kale-i Bihke
بهلشته,Bihlişte
بهلشته,Bihlişte/Vılkaşin
ولقاشين,Bihlişte/Vılkaşin
ولقاشن,Bihlişte/Vılkaşin
بيهور,Bihor
بهور,Bihor
بحور,Bihor
بهورنه,Bihorine
بهورينه,Bihorine
بحورينه,Bihorine
بهورينه,Bihorine
بهرينه و قورپنه,Bihorine ve Krupine (Kurpine)
بوحورينه,Bihorine/Buhorine
بقاع,Bika
بقاع شرقى مع  بعلبك,Bika-ı Şarki maa Baalbek
اقليم بقاع,Bika-i Garb/İklim-i Bika
بقاع غربى,Bika-i Garbi
غرب البقاع,Bika-i Garbi/Garbülbika
بقاع شرقى,Bika-i Şarki
بقاع شرقى,Bika-i Şarki
بقاع شرقى مع  بعلبك,Bika-i Şarki maa Baalbek
بيكارى ايلى,Bikariili
بقاع العزيز,Bikaulaziz
بقاع العزيز,Bikaülaziz
بُقاع العزيز,Bikaülaziz
بقاع العزيز معلقه,Bikaülaziz-i Muallaka
قطاع الطريق,Bikaülaziz/Kuttauttarik
بلاد خمسه,Bilad-ı Hamse
بلاد همدان,Bilad-ı Hemdan
همدان,Bilad-ı Hemdan/Hemdan
بلاد سباء,Bilad-ı Seba
بلاد ثلاثه,Bilad-ı Selase
بلاد البربر,Biladülberber
بلاد البستان,Biladülbostan
بلاد بستان,Biladülbostan/Bilad-ı Bostan
بلاد الرؤس,Biladürruus
بلاد الرؤس و بنى بهلول,Biladürruus ve Benibehlül
بلاد الرؤس و بنى بهلول,Biladürruus ve Benibehlül
بنى بهلول و بلاد الروس,Biladürruus ve Benibehlül/Benibehlül ve Biladürruus
بلاوى,Bilavi
بِلبيس,Bilbeys
بِلْبَيس,Bilbeys
بالباس,Bilbeys/Balbas
بله,Bile
بيله جك,Bilecik
بلجك,Bilecik
بيلجك,Bilecik
بلاجك,Bilecik
بله جك,Bilecik
نفس بيله جك,Bilecik merkez
ارطغرل,Bilecik/Ertuğrul
بيله كه,Bileke
بيلكه,Bileke
بليجان,Bilican
بليجان,Bilican
ابليجان,Bilican/İblican
بيلجه,Bilice
بليده,Bilida
بللسمر,Billesmer
بيك بوغا,Binboğa
بنغازى,Bingazi
نفس بنغازى,Bingazi merkez
بنغازى,Bingazi/Berka
بيك كول,Bingöl
بنكدره,Binküdre
بنكدره و طائفۀ باجلان و محلان,Binküdre ve Bacıvan (Taife-i Bacilan) ve Mahlan
بكدره,Binküdre/Beydere
بيكدره,Binküdre/Bikdere
بيكدره,Binküdre/Biküdre
نيكدره,Binküdre/Nikdere
بنشيه,Binşiye
بنت عقفش,Bint-i Akfeş
بنت قاطوف,Bint-i Katuf
بنت اصنوع,Bint-i Usnu
بنت الذل,Bintüzzel
بيرا وجبل قدس,Bira ve Cebel-i Kudüs
براستك,Birastik
برچه,Birçe
بيرچه,Birçe
برجه,Birçe
پرچه مع كنزين,Birçe (Pirçe) maa Knezin
برچه مع كنزين,Birçe maa Kenzin
برجه مع كنزين,Birçe maa Knezin
پرچه,Birçe/Pirçe
ولاسه نيچه,Birçe/Vlaseniçe
ولاسنيچه,Birçe/Vlaseniçe
بيره و كهيد,Bire ve Gühid (?)
بيره جك,Birecik
بره جك,Birecik
بيره جك تلكوران,Birecik-i Tilgören
بَرَه,Birecik-i Tilgören/Bere
بريه جك,Birecik-i Tilgören/Berriyecik
بيره,Birecik-i Tilgören/Bire
بره جك,Birecik-i Tilgören/Birecik
بيره جك,Birecik-i Tilgören/Birecik
بَيْرَه جك,Birecik/Beyrecik
بيله جك,Birecik/Bilecik
بيرة الفرات,Birecik/Biretülfırat
بئرة الفرات,Birecik/Biretülfırat
بيره جك,Birecik/Biretülfırat
بئرة الجرد,Biretülcürd
بيرة الجرد,Biretülcürd
بيرين,Bireyn
بيرين مع جبل بارشه,Bireyn maa Cebel-i Barişa
بيرين مع ناحيۀ بارشه,Bireyn maa Nahiye-i Barişa
بيرين مع ناحيۀ جبل بارشه,Bireyn maa Nahiye-i Cebel-i Barişa
بركى,Birgi
بيركى,Birgi
بيركي,Birgi
برلك,Birgi/Birlik
بيرغومه,Birgoma
برغومه,Birgoma
بيرغومه و يواش الى,Birgoma ve Yavaşili
بربر,Biribir
بيرمانه,Birmana
بيروش عشيرتى,Biroş Aşireti
بيرون باب له,Birun-ı Bab-ı Leh
بيرون باب روس,Birun-ı Bab-ı Rus
بيرون [-بار],Birun-ı Bar/Birun
بيرون يازلوفچه,Birun-ı Yazlofça
بيرون آباد,Birunabad
بورنوه,Birunabad/Bornova
برون آباد,Birunabad/Burunabad
برون اباد,Birunabad/Burunabad
برون اباد,Birunabad/Burunabad
بيرونئ سيواس,Biruni-i Sivas
بئر السبع,Birüsseba
برزيه,Birziye
بِرزَه,Birziye/Birze
برزه,Birziye/Birze
برزى,Birziye/Birzi
برزيه,Birziye/Cebel-i Hamis
بيسان,Bisan
بيسان مع  جنين,Bisan maa Cenin
بسكنتا,Biskinta
بسميل,Bismil
بي سوچنه,Bisoçna
بستريچه,Bistriçe
بازار بستريجه,Bistriçe/Pazar-ı Bistriçe
بيشه,Bişe
بيشة النخل,Bişe/Bişetünnahl
بشرى,Bişerri
بشراى,Bişerri
بشرى شماليه و جنوبيه,Bişerri/Bişerri-i Şimaliye ve Cenubiye
بشخابور,Bişhabur
بشتريچه,Biştriçe
بتليس,Bitlis
بدليس,Bitlis
نفس بتليس,Bitlis merkez
بدليس,Bitlis/Bidlis
بيتوش,Bituş
بياو,Biyav
بيلا,Biyela
بيزه رى,Bizeri
بزرى,Bizeri
بيزرطه,Bizerta
بيزرط,Bizerta/Bizert
بيزرَطْ,Bizerta/Bizert
بيزرطه مع پورت فارينا,Bizerta/Bizerta maa Port Farina
بزينه رود,Bizinerud
بلاج,Blac
بلاچ,Blac
بلاغاى,Blagay
بلاغاي,Blagay
بلغاى,Blagay
بلغاى,Blagay
بلغاى و چرنيجه,Blagay ve Çerniçe/Groçika (?)
بلقاى,Blagay/Blakay
بولاغاى,Blagay/Bulagay
واروش بلاغاى,Blagay/Varoş-ı Blagay
واروش قلعۀ بلاغاى,Blagay/Varoş-ı Kale-i Blagay
بلاژوى بازار,Blajuypazar
بازار بلاژوى,Blajuypazar/Pazar-ı Blajuy
بلاته,Blata
بلاي بارلته,Blaybarlete
بلاى بارلت,Blaybarlete/Blaybarlet
قلعۀ بيلاي,Blaybarlete/Kale-i Blay
قلعۀ بلاي بارلته,Blaybarlete/Kale-i Blaybarlete
بلاى بلاغاى,Blayblagay
بلاي بلاغاي,Blayblagay
بيلاي بلاغاي,Blayblagay
بيلاي بيلاغاي,Blayblagay
بلاى,Blayblagay/Blay
بيلاى,Blayblagay/Blay
قلعۀ بلاي بلاغاى,Blayblagay/Kale-i Blayblagay
قلعۀ بلاى بلاغاى,Blayblagay/Kale-i Blayblagay
قلعۀ بيلاي بيلاغاي,Blayblagay/Kale-i Blayblagay
بلاى بونيك,Blaybunik
بلاى,Blaybunik/Blay
قلعۀ بونيك بيلاى,Blaybunik/Kale-i Bunikblay
قلعۀ بونيك بلاي,Blaybunik/Kale-i Bunikblay
بله ترنيك,Bleternik
بوبان,Boban
بوبوفجه,Bobofça
بوبوفچه,Bobofça
بوبوجه,Bobofça/Bobovce
بوبوچه,Bobofça/Bobovçe
پوبوفجه,Bobofça/Pobofca
پوبوفچه,Bobofça/Pobofça
بوچاچ,Boçaç
واروش قلعۀ بوچاچ,Boçaç/Varoş-ı Kale-i Boçaç
بوچالا,Boçala
بوچ وديك,Boçvodik
بوچ,Boçvodik/Boç
بوچ,Boçvodik/Boç
پوج,Boçvodik/Poc
بوده (؟),Bode (?)
بودييه,Bodiye
بودوق,Bodok
بودروم,Bodrum
بودرم,Bodrum
بودورم,Bodrum
بدوروم,Bodrum/Bodurum
بودورم,Bodrum/Bodurum
بودوروم,Bodrum/Bodurum
بوغارينه,Bogarine
بغارينه,Bogarine
بوغوميل,Bogomil
بوغوميل,Bogomil/Suğla
بوغوروديچه,Bogorodiçe
بوغا,Boğa
بوغه,Boğa
بوغاز,Boğaz
بوغاز,Boğaz
بوغاز كبير,Boğaz-ı Kebir
بوغاز زير,Boğaz-ı Zir
بوغاز حصارى,Boğaz/Boğazhisar
بغاز حصار,Boğazhisar
بغاز حصار,Boğazhisar
بوغاز حصار,Boğazhisar
اياز حصار,Boğazhisar/Ayazhisar
بغازكسان,Boğazhisarı/Boğazkesen
بوغازحصارى,Boğazhisarı/Hisar-ı Rumeli
قلعۀ بوغازكسان,Boğazhisarı/Kale-i Boğazkesen
بوغزي يومرى,Boğazıyumru
بوغاز كويى,Boğazköyü
بوغاز كوى,Boğazköyü/Boğazköy
بوغازليان,Boğazlıyan
بوغزليان,Boğazlıyan
بوغچه,Boğça
بوغدان,Boğdan
بغدان,Boğdan
بُغدَان,Boğdan
ولايت بغدان,Boğdan/Vilayet-i Boğdan
بغدانوس,Boğdanos
بغدان,Boğdanos/Boğdan
بغدان رپه,Boğdanripe
بوغناريت,Boğnarit
بوغناد,Boğnarit/Boğnad
بهتان,Bohtan
بوهتان,Bohtan
بوهتان,Bohtan
بولامان,Bolaman
بولمان,Bolaman
بولمان و جماش,Bolaman ve Çamaş
پولمان,Bolaman/Polaman
بولاوادين,Bolavadin
بوليوادين,Bolavadin/Bolivadin
بولوه دين,Bolavadin/Bolvadin
بولوادين,Bolavadin/Bolvadin
بولوادين,Bolavadin/Bolvadin
نفس بولوادين,Bolavadin/Bolvadin merkez
بولاير,Bolayır
بلهوه,Bolhova
بولى,Bolu
بولي,Bolu
بولى مع اركلى,Bolu maa Bendereğli (Ereğli)
بولى مع نواحى,Bolu maa Nevahi
نفس بولى,Bolu merkez
بوليجان,Bolucan
پوليجان,Bolucan/Polican
بولولى,Bolulu
بولوان,Bolvan
بومبورى,Bombori
بون,Bone/Bon
بوپاقچه,Bopakça
بور,Bor
بور,Bor
بور مع قايى,Bor maa Kayı
بور مع قاف,Bor maa Kayı (Kaf)
بور مع قانى,Bor maa Kayı (Kani)
بوراچ,Boraç
بوراج,Boraç
واروش بوراج,Boraç (Varoş-ı Boraç)/İzvovik
بوراج,Boraç/Praça
بوراواج,Boravac
بوربوچقو,Borboçko
بورپوچقو,Borboçko/Borpoçko
بورچقه,Borçka
بورچو,Borçov
بوريچوچه,Boriçeviçe
بوريچواچ,Boriçeviçe/Boriçevac
قلعۀ بوريچوچه,Boriçeviçe/Kale-i Boriçeviçe
قلعۀ بوريچوچه,Boriçeviçe/Kale-i Boriçeviçe
بورسقوفچه,Boriskofça
بورلى,Borlu
بورلو,Borlu
بورلى,Borlu
بورلئ صاروخان,Borlu/Borlu-i Saruhan
بورلى,Borlu/Timurci
بورهوه,Borohova
بوريه,Borye
بوريو,Borye/Boryo
بوسنه,Bosna
بوسه,Bosna
بوسنه,Bosna
بوسنه برودى,Bosna Brodu
برود و اسرم چرنيك (؟),Bosna Brodu (Brod) ve İsrem-i Çernik (?)
بوسنه برود,Bosna Brodu/Bosna Brod
برود,Bosna Brodu/Brod
برود,Bosna Brodu/Brod
بروت,Bosna Brodu/Brot
بوسنه برودى,Bosna Brodu/Travnik
بوسنه طاغلرى,Bosna Dağları
نفس بوسنه,Bosna merkez
بوسنه شامچه,Bosna Şamiçe
بوسنه و هرسك,Bosna ve Hersek
سراى,Bosna/Saray
سراى بوسنه,Bosna/Saraybosna
بصود,Bosud
بوصود,Bosud
بوصوت,Bosud/Bosut
پوصوت,Bosud/Posut
بوشاد,Boşad
بوشقه پلانه,Boşkaplana
بوشقه بلانه,Boşkaplana
بوشقو بلاته,Boşkaplana/Boşkoblata
بوطوچانى,Botuçani
بويدى اطه جغى,Bovidi Adacığı
بوى آباد,Boyabad
بوى اباد,Boyabad
بوى آباد,Boyabad
بوى اباد مع يورتان,Boyabad maa Yortan
نفس بوى آباد,Boyabad merkez
بوى اواسى,Boyabad/Boyovası
بوى اباد,Boyabad/Boyovası
بويالى,Boyalı
بويالو,Boyalı
بويان,Boyan (?)
بويانه,Boyana
بويانه كنارى,Boyana/Boyanakenarı
بويميه,Boyimiye
بويناق,Boynak
بوينى يوغنلى,Boynuyoğunlu
بوينوبوغنلى,Boynuyoğunlu/Boynuboğunlu
بوزا,Boza
بوز آباد,Bozabad
بوز ابآد,Bozabad
بوز اباد,Bozabad
بوى اباد,Bozabad/Boyabad
بوزاغاج,Bozağaç
بوزآغاج,Bozağaç
بوزآغاج,Bozağaç
بوزاغاج بولكه سيله كلنار,Bozağaç bölgesiyle Gülnar
بلكۀ بوزآغاج,Bozağaç/Bölge-i Bozağaç
بوزات,Bozat
بوزاتلو,Bozatlı
بوز بابا,Bozbaba
آتاستراتى,Bozbaba/Atastrati
ايوس ستراتى,Bozbaba/Ayosstrati
بوبابا,Bozbaba/Bobaba
بوز بابا لمنى,Bozbaba/Bozbaba-i Limni
ستراتى,Bozbaba/Strati
بوزبرون,Bozburun
بوز برون,Bozburun
بوز بورن,Bozburun
بوزجه آطه,Bozcaada
بوزجه اطه,Bozcaada
بوزجه آطه,Bozcaada
بوزجه اده,Bozcaada
بوزجه اطه,Bozcaada
اطۀ بوزجه,Bozcaada/Ada-i Bozca
بوغچه,Bozcaada/Boğça
بوزجه,Bozcaada/Bozca
بوزجه,Bozcaada/Bozca
بوزجا,Bozcaada/Bozca
بوزجه جزيره سى,Bozcaada/Bozca Ceziresi
جزيرۀ بوزجه,Bozcaada/Cezire-i Bozca
جزيرۀ بوزجه اطه,Bozcaada/Cezire-i Bozcaada
بوزجه آطه,Bozcaada/Tenedos
بوزطاغى,Bozdağı
بوزطغان,Bozdoğan
بوزدوغان,Bozdoğan
بوزطغان مع ناحيۀ قواق,Bozdoğan maa Nahiye-i Kavak
نفس بوزطغان,Bozdoğan merkez
بوزطغان بالا,Bozdoğan-ı Bala
بوزطان,Bozdoğan/Bozdan
بوزطوغان,Bozdoğan/Pazarköy
بوزغوش,Bozguş
بوزين,Bozin
بوزقير,Bozkır
بوز قير,Bozkır
نفس بوزقير,Bozkır merkez
بوزقير و بكشهر,Bozkır ve Beyşehir
بوزقيرى,Bozkır/Bozkırı
بوزقير,Bozkır/Siristad
سرستاد,Bozkır/Siristad
بوزلى,Bozlu
بوزلق,Bozluk
بوزلق و تودرغه و الپى و عشرلو يوزى,Bozluk ve Todurga ve Alpı ve Öşürlüyüzü
بوزوق,Bozok
بوزاوق,Bozok
بوز اوق,Bozok
بزور اوق,Bozok
بوزاوق صورقونى,Bozok Sorkunu
صورقون,Bozok Sorkunu (Sorkun)/Öyük
صورغين,Bozok Sorkunu/Sorgın
صورغين بوز اوق,Bozok Sorkunu/Sorgın-ı Bozok
صورغون,Bozok Sorkunu/Sorgun
صورقون,Bozok Sorkunu/Sorgun
صورقون,Bozok Sorkunu/Sorkun
بوزوق,Bozok/İrdig
يوزغاد,Bozok/Yozgad
بوزاووه,Bozova
بوز اووا,Bozova
بوزووار,Bozovar
بوزويچه,Bozoviçe
بوز اويوك,Bozöyük
بوز اويك مع اين اوڭى,Bozöyük maa İnönü
مع بوز اويوك اين اوكى,Bozöyük maa İnönü
بوزايوك,Bozöyük/Karadona
بوزاولوس,Bozulus
بوزياقه,Bozyaka
بوزيير مع قوريجق,Bozyer maa Kurucak
بكور دلن,Böğürdelen
بوگر دلن,Böğürdelen
بوكور دلن,Böğürdelen
بوكور ده لن,Böğürdelen
قلعۀ بوگر دلن,Böğürdelen/Kale-i Böğürdelen
قلعۀ بكور دلن,Böğürdelen/Kale-i Böğürdelen
شاباچ,Böğürdelen/Şabaç
بلكۀ جبل و عشيرت خيرويللى و قره بوجيلى و بخشش و قره حاجيلى,Bölge-i Cebel ve Aşiret-i Hayrilli ve Karaböcülü ve Bahşeş ve Karahacılı
بلوك باشى,Bölükbaşı
بلوكباشى,Bölükbaşı
بسرمن,Bösörman
بسرمان,Bösörman
براحوه,Brahova
برانيچوه,Braniçeva
برانچوه,Braniçeva
برانيجوه,Braniçeva
براصدم,Brasadim
براتسا,Bratsa
براچه,Bratsa/Braça
برازا,Bratsa/Braza
براتوشش,Bratuşeş/Yenice
برژنچه و بكش و قومار,Brejniçe/Berezeniçe ve Bekiş ve Komar
برسنيچه,Bresniçe
بره زه بانا (؟),Brezebana (?)
برزيقه,Brezika
برزنه,Brezne
برزنچه,Brezniçe
برزنيك,Breznik
برزنيق,Breznik
بريزنيك,Breznik/Briznik
پرزنيك,Breznik/Preznik
ترونيك,Breznik/Travnik
بره زوه پوله,Brezovapole
پرزوو پوله,Brezovapole/Prezovopole
برزويچه,Brezoviçe
بره زويچه,Brezoviçe
برتويك,Britvik
برود,Brod
اشغه برود,Brod/Aşağıbrod
دسپوت برودى,Brod/Despot Brodu
برودار,Brodar
برولوشجه,Broloşce
برلوشجه,Broloşce
بورسلنوفقه,Bruslinofka
بوبكان,Bubikan
بوبيان,Bubiyan
ببيان,Bubiyan
بوجاق,Bucak
بوحاق,Bucak
بجاق,Bucak
بوجاق مع عشائر,Bucak maa Aşair
بجوره,Bucura
بچوره,Bucura
بيجوراوه,Bucura/Bicurova
بيجوراوا,Bucura/Bicurova
بجوروه,Bucura/Bucurova
بوداق,Budak
بداقلو,Budaklı
بوداقلى اوتلغى,Budaklıotlağı/Budaklıotluğu
بودى,Budi
بوديمله,Budimle
بودمله,Budimle
بودمله مع بلاو,Budimle maa Plav
بودمله,Budimle/Goşta
قومنن,Budimle/Komnin
چومنين,Budimle/Komnin (Çomnin)
بودين,Budin
بدون,Budin
بُدين,Budin
بدون و پشته,Budin (Budun) ve Peşte
بدون,Budin/Budun
بُدُون,Budin/Budun
بودن,Budin/Budun
بودون,Budin/Budun
بدون عتيق,Budin/Budun-ı Atik
پاشا,Budin/Paşa
بحيره,Buhayra
بحيره,Buhayra
بُحَيْره,Buhayra
بحريه,Buhayra
بُحَيْرَه,Buhayra
بخيره,Buhayra
بحيرۀ حجانيه,Buhayra-i Hıcaniye
بحيرۀ عتيبه,Buhayra-i Uteybe
بحيرةالبالا,Buhayratülbala
بحيرۀ اعلا,Buhayratülbala/Buhayra-i Ala
بحيرة الببان,Buhayratülbiban
بوژيم,Bujim
بوژور,Bujor
پوژور,Bujor/Pujor
بقعه (؟),Buka (?)
بوكان,Bukan
بوكده,Bukede
بوقوفچه مع اسلاتنيك,Bukofça maa Islatnik
بوقويچه,Bukoviçe
بوقوويك,Bukovik
بو قشاشيه,Bukuşaşiye
بوقويك,Bukvik
بولاجالى,Bulacalı
بولا جه لى,Bulacalı
بولاجلو,Bulacalı
بولاجلو,Bulacalı
بوله جلى,Bulacalı
بولاجلو و كشلو و تاتار عشيرتى,Bulacalı ve Keşli ve Tatar Aşireti
بولاق,Bulak
بولام,Bulam
بولماج,Bulamaç
بولماچ,Bulamaç
فارماقونيزى,Bulamaç (Farmakonizi)/Farmakoza
فارماقو,Bulamaç/Farmako
فورماقو,Bulamaç/Farmako (Furmako)
فارماقونيزى,Bulamaç/Farmakonizi
فارماقوس,Bulamaç/Farmakos
بولانيق,Bulanık
بولانق,Bulanık
بولدان,Buldan
نفس بولدان,Buldan merkez
بولدان,Buldan/Çarşamba
چهارشنبه,Buldan/Çarşamba
چهارشنبۀ لازقيه,Buldan/Çarşamba-i Lazkiye
بولدان,Buldan/Çarşamba-i Lazkiye
چهارشنبۀ لادقيه,Buldan/Çarşamba-i Lazkiye
بولدق,Bulduk
بولغناق,Bulganak
نهر بولغنق,Bulganak/Nehr-i Bulganak
نهر بولغناق,Bulganak/Nehr-i Bulganak
بلغار,Bulgar
بولغار مملكتي,Bulgar Memleketi
بلغارستان,Bulgaristan
بلغارستان امارتى,Bulgaristan Emareti
بومبا,Bumba
بنه,Buna
بنّه,Buna/Bunna
بنّا,Buna/Bunna
بونيغيا,Bunigiya
باركير,Bunigiya/Bargir
برع,Bura
جبل برع,Bura/Cebel-i Bura
براق,Burak
برج,Burç
بوردور,Burdur
بوردر,Burdur
بوردير,Burdur
بوردور,Burdur
نفس بوردور,Burdur merkez
بوردور و اورله,Burdur ve İrle (Urla)
بوردور,Burdur/Terkemiş
تركمش,Burdur/Terkemiş
بورغاس,Burgas
نفس بورغاس,Burgas merkez
برغوس,Burgas/Bergos
بورغاز,Burgaz
برغازجديد,Burgaz-ı Cedid
برغاز جديد,Burgaz-ı Cedid
برغوس اطه,Burgaz/Burgosada
ترغوس,Burgaz/Tergos
بورغى,Burgu
بورهان,Burhan
برهان,Burhan
برهانيه,Burhaniye
كمر,Burhaniye/Kemer
كمر,Burhaniye/Kemer
كمر ادرميد,Burhaniye/Kemer-i Edremid
كمر ادره ميد,Burhaniye/Kemer-i Edremid
بورلات,Burlat
بورناز,Burnaz
بورماز,Burnaz/Burmaz
بروسه,Bursa
بروسا,Bursa
بورسه,Bursa
برسه,Bursa
بروسه,Bursa merkez
نفس بروسه,Bursa merkez
بروسه يكيجه,Bursa Yenice
يكيجه,Bursa Yenice/Yenice
بروسه,Bursa/Burusa
بروجرد,Burucerd
بوري كول,Burugöl
بورلجه,Burulca
بوريلجه,Burulca/Burılca
بورلچه,Burulca/Burulça
بورلوس,Burulus
بوسان,Busan
بصيره,Busayra
بصره,Busayra/Busra
بثينه,Buseyne
بوصولجه,Busolca
بصرى اسكى شام,Busra/Busra Eskişam
بصراسكى شام,Busra/Busra Eskişam
بصره اسكى شام,Busra/Busra Eskişam
بصرا,Busra/Eskişam
اسكى شام,Busra/Eskişam
بصرالحرير,Busrulharir
بوستا,Busta
بوشاط,Buşat
بوشير,Buşeyr
بوط,But
بطيحه,Butayha
بتيل,Butil
بو تينى,Butina
بوتما,Butma
بوترنتو,Butrinto
بوير,Buveyr
بوياق,Buyak
بوياق,Buyak
بويانوفچه,Buyanofça
بوزى,Buzi
بوزمرت,Buzmeret
بوبر,Büber
ببرلر,Büber/Büberler
بكرش,Bükreş
بلبلجه,Bülbülce
بلبلجه,Bülbülce
اطۀ بلبلجه,Bülbülce/Ada-i Bülbülce
بليجه,Bülbülce/Belice
بلبلجك,Bülbülcük
بلبل جك,Bülbülcük
عتيق بلبلجه,Bülbülcük/Atik Bülbülce
اسكى بلبلجه,Bülbülcük/Eski Bülbülce
اسكى تريكه رى,Bülbülcük/Eski Trikeri
پالاقو ترى خورى,Bülbülcük/Palako Trihori
پاليو تريكيرى,Bülbülcük/Palyo Trikiri
بنيان,Bünyan
بنيان حميد,Bünyan/Bünyan-ı Hamid
بنيان حميد,Bünyan/Bünyan-ı Hamid
بنيان,Bünyan/Sarımsaklı
صارمساقلى,Bünyan/Sarımsaklı
بريقه,Büreyka
بريقه [و] جدابيه,Büreyka [ve] Cidabiye
برقه,Büreyka/Berka
بشورم,Büşürüm
بشروم,Büşürüm
بيوك آطه,Büyükada
بيوك اطه,Büyükada
بيوك اطه,Büyükada/Ada-i Kebir
اطۀ كبير,Büyükada/Ada-i Kebir
بيوك چكمجه,Büyükçekmece
بيوك فنطه,Büyükfanta
فنطه بزرك,Büyükfanta/Fanta-i Büzürk
بيوك غالانيس,Büyükgalanis
مغالوغلارونيس,Büyükgalanis/Megalo Galaronis
مغالوغلارونيسى,Büyükgalanis/Megalo Galaronisi
مقالوغالانوريس,Büyükgalanis/Mekalo Galanoris
بيوك اسماعيلجه,Büyükismailce
بيوك قره قرلى,Büyükkarakarlı
بيوك قره قارلى,Büyükkarakarlı
بويك قره صو,Büyükkarasu
استروما,Büyükkarasu/Siroz Karasuyu/Ustruma
بيوك قارشديران,Büyükkarışdıran
بيوك ليمان,Büyükliman
بيوك مندرس,Büyükmenderes
بيوك مركب,Büyükmerkeb
ماغاله,Büyükpetali/Magala
بيوك پتالى,Büyükpetali/Megalo
بيوك طوشان,Büyüktavşan/Mavro
بيوك وديك,Büyükvodik
جبانس,Cabanis
جاف عشائرى,Caf Aşairi
جفتين,Cafatin
جفاتين,Cafatin
جافاتين,Cafatin
جعفري,Caferi
جعفريه,Caferiye
جَعْفَرِيّه,Caferiye
جَغاوَه,Cağave
جالو,Calu
جامع على پاشا,Cami-i Alipaşa
جامع اياصوفيه,Cami-i Ayasofya
جامع داود پاشا,Cami-i Davudpaşa
جامع ابراهم پاشا,Cami-i İbrahimpaşa
جامع سلطان بايزيد خان,Cami-i Sultanbayezidhan
جامع سلطان محمد خان,Cami-i Sultanmehmedhan
جامع سلطان سليم خان,Cami-i Sultanselimhan
جامستل,Camustil
جاموستيل,Camustil
جاموستل,Camustil
جاموستل مع بولانق و شكر اوبه سى,Camustil maa Bulanık ve Şekerobası
ناحيۀ جاموستل مع بولانق و شكر اوبه سى,Camustil maa Bulanık ve Şekerobası
جامزطل,Camustil/Camuztıl
جنان,Canan
جانباز,Canbaz
جانجه,Canca
جانجكه,Canciğe
جان فدا,Canfeda
جانب شهر,Canib-i Şehr
جانب عربان غرب,Canib-i Urban-ı Garb
جانب عربان شرق,Canib-i Urban-ı Şark
جانب الصِرتْ و قَصْر,Canibüssırt ve Kasr
جانب الصرت و قصر,Canibüssırt ve Kasr
جانيك,Canik
جانيك قواق,Canik Kavak
قواق,Canik Kavak/Kavak
جانيك مع نظارت كندز,Canik maa Nezaret-i Gündüz
جانيك كول,Canik-i Göl
جانيت كول,Canik-i Göl/Canit-i Göl
كول,Canik-i Göl/Göl
جانيت قرق خرمن,Canik-i Kırkharman/Canit-i Kırkharman
جانيت  قرق خرمن,Canik-i Kırkharman/Canit-i Kırkharman
جانيت,Canik/Canit
جانيك,Canik/Samsun
جانوس,Canus
جاروه,Carva
جاسم,Casim
جايم,Cayim
جبارات,Cebbarat
جبول,Cebbul
جبول و باب و منبج,Cebbul ve Bab ve Menbic
جبل,Cebel
جبل,Cebel
جبل مع  عشيرت بوله جلى,Cebel maa Aşiret-i Bulacalı
جبل و ترشيحا,Cebel ve Terşiha
جبل و ترسيحا,Cebel ve Terşiha
جبل عبد العزيز,Cebel-i Abdülaziz
جبل احمر,Cebel-i Ahmer
جبل اقراع,Cebel-i Akra
جبل اقرع,Cebel-i Akra
جبل اقرع,Cebel-i Akra
جبل اعلا,Cebel-i Ala
جبل على,Cebel-i Ali
جبل عامله,Cebel-i Amile
جبل عتيق,Cebel-i Atik
جبل بنى عليم,Cebel-i Benialim
جبل بركت,Cebel-i Bereket
جبل بركت,Cebel-i Bereket/Osmaniye
جبل بركت,Cebel-i Bereket/Yarpuz
جبل بكر,Cebel-i Buker
جبل بو كر,Cebel-i Buker
جبل جن,Cebel-i Cin
جبل جسر,Cebel-i Cisr
جبل جرد,Cebel-i Cürd
جبل دمعراض,Cebel-i Demaraz
جبل درزى,Cebel-i Dürzi
جبل دروز,Cebel-i Dürzi/Cebel-i Düruz
درزى,Cebel-i Dürzi/Dürzi
جبل ادهميه,Cebel-i Edhemiye
جبلۀ ادهمى,Cebel-i Edhemiye/Cebele-i Edhemi
جبل اكراد,Cebel-i Ekrad
جبل الا كراد,Cebel-i Ekrad/Cebelülekrad
جبل الاكراد,Cebel-i Ekrad/Cebelülekrad
جبل اربعه,Cebel-i Erbaa
جبل ارجيس,Cebel-i Erciyes
جبل حبش,Cebel-i Habeş
